Time,Distance
4,27.18
6,27.42
9,26.79
11,27.03
14,26.51
16,26.48
19,26.50
21,26.48
25,26.51
35,26.21
46,25.78
56,26.26
67,26.15
77,25.31
88,24.88
98,25.88
108,25.88
119,25.47
132,25.06
143,24.95
154,25.42
165,25.52
177,25.11
188,25.57
200,25.47
211,25.93
223,25.93
234,26.09
245,26.81
258,26.82
269,27.18
280,28.06
291,29.40
425,2103.98
550,2110.75
552,29.62
556,29.10
559,29.22
562,30.85
564,33.00
567,31.30
570,29.74
701,2103.91
826,2110.43
834,123.34
837,32.09
840,33.37
843,33.36
845,33.48
848,33.37
851,33.51
856,33.36
866,21.66
877,22.17
889,35.52
1022,2103.82
1026,28.57
1029,21.71
1031,20.37
1033,20.24
1035,19.48
1037,19.89
1047,18.88
1059,18.88
1072,18.83
1084,19.14
1096,19.45
1110,19.64
1122,19.60
1134,19.04
1146,18.50
1159,18.78
1171,18.21
1184,18.14
1197,18.52
1209,18.90
1221,18.37
1233,17.85
1247,17.63
1259,17.68
1271,17.22
1284,18.09
1296,18.11
1308,17.70
1321,17.70
1334,18.52
1346,19.69
1358,18.62
1371,17.24
1384,17.99
1396,18.76
1409,19.12
1421,19.04
1433,18.93
1446,20.84
1582,2103.72
1584,16.82
1585,11.82
1587,12.61
1589,11.39
1591,11.66
1592,12.64
1604,12.90
1617,11.71
1630,12.38
1642,12.18
1654,12.85
1667,12.28
1680,12.09
1692,13.26
1704,13.62
1717,11.71
1729,11.66
1741,11.06
1755,10.84
1767,12.40
1779,11.71
1792,10.74
1804,10.68
1816,9.30
1828,9.14
1840,8.82
1851,9.06
1862,9.50
1873,9.81
1885,9.00
1897,8.85
1908,8.40
1920,8.75
1931,8.87
1942,8.87
1953,9.18
1966,9.45
1977,9.45
1988,9.86
1999,10.38
2012,10.79
2025,13.58
2037,10.02
2050,9.96
2061,8.87
2072,8.45
2083,8.04
2096,7.97
2107,8.45
2118,8.97
2129,9.14
2141,9.19
2152,8.92
2164,9.60
2176,10.94
2188,11.76
2200,11.88
2212,11.10
2226,10.65
2238,10.27
2250,9.91
2262,10.53
2274,11.46
2287,12.74
2299,9.96
2311,9.55
2322,9.55
2333,9.24
2344,9.24
2357,9.14
2368,9.60
2379,10.07
2392,10.63
