Time,Distance
5,35.83
8,36.24
11,36.24
14,36.24
17,36.26
20,37.13
23,36.31
26,36.29
28,21.57
37,22.47
49,37.58
59,45.60
69,46.17
79,38.69
89,21.08
99,20.70
109,20.34
121,20.75
133,20.96
144,20.60
155,20.24
166,20.24
179,20.65
190,20.25
201,20.39
212,20.91
224,20.96
235,21.01
247,20.51
259,20.24
270,20.25
281,20.31
292,20.31
304,20.34
316,20.31
327,20.39
338,20.03
350,20.03
361,20.46
372,20.08
385,20.39
396,20.56
407,20.55
418,20.13
430,20.13
441,20.13
453,20.03
464,20.13
476,20.13
487,20.49
498,20.46
509,19.93
522,20.24
533,19.88
544,19.93
556,20.36
567,20.85
579,20.80
590,20.85
602,20.60
613,20.60
624,20.65
635,20.70
648,20.65
659,20.75
670,21.21
681,21.27
693,21.27
704,21.28
716,21.63
728,21.32
739,21.75
750,21.32
761,20.91
773,20.92
785,20.80
796,20.91
807,20.92
819,20.92
830,20.91
842,20.92
854,21.27
865,20.97
876,20.97
887,21.03
899,21.03
911,20.97
922,20.97
933,21.13
945,20.72
956,21.18
967,21.64
979,21.13
991,21.28
1002,21.33
1014,21.39
1027,21.42
1040,21.49
1052,21.44
1064,21.59
1077,22.52
1089,22.57
1102,22.98
1115,23.44
1127,23.55
1139,24.82
1153,29.12
1165,23.60
1177,21.95
1189,19.41
1202,16.28
1215,43.27
1227,29.38
1242,57.98
1253,44.30
1265,41.55
1277,41.19
1289,16.17
1301,18.44
1313,18.59
1327,19.77
1339,17.30
1351,17.51
1366,46.58
1379,61.33
1391,61.72
1403,62.60
1415,40.06
1429,60.02
1438,11.68
1451,12.09
1463,13.50
1476,14.97
1488,12.55
1501,13.60
1513,12.66
1525,11.42
1541,58.77
1553,60.04
1563,12.52
1577,41.55
1588,10.34
1600,10.55
1613,11.78
1626,11.32
1638,11.63
1650,11.73
1662,13.22
1676,12.76
1688,12.86
1700,11.68
1713,13.58
1725,13.63
1738,14.53
1751,14.32
1763,15.92
1775,17.41
1789,40.25
1802,41.18
1814,41.14
1825,19.00
1838,19.83
1851,20.41
1863,18.13
1875,20.85
1888,18.13
1902,48.83
1912,17.25
1928,50.94
1940,51.66
1950,17.41
1963,17.30
1975,19.31
1988,17.87
2000,14.92
2013,14.11
2025,13.70
2037,14.11
2050,14.87
2062,14.83
2075,15.80
2087,13.84
2100,14.53
2112,13.33
2124,13.70
2138,13.58
2150,13.94
2162,13.79
2174,14.25
2187,14.15
2200,14.01
2212,14.06
2225,12.97
2237,13.69
2249,13.33
2262,13.60
2275,13.81
2287,14.11
2299,14.51
2312,15.04
2324,15.71
2337,15.66
2350,15.19
2362,16.17
2374,15.86
2386,15.81
2400,15.85
2412,15.86
2424,15.86
2437,15.85
2449,16.33
2462,15.92
2475,15.95
2487,15.97
2499,16.02
2511,15.95
2525,16.07
2537,15.95
2549,15.97
2562,15.97
2574,16.41
2586,16.43
2599,16.48
2612,16.94
2624,17.05
2636,17.15
2649,16.79
2662,16.84
2674,16.89
2686,17.36
2699,17.34
2711,17.78
2724,17.30
2737,17.73
2749,17.25
2761,17.66
2774,17.66
2787,17.97
2799,18.54
2811,19.36
2824,18.02
2836,18.02
2849,18.44
2862,18.02
2874,18.02
2886,18.08
2898,20.65
2911,18.18
2925,41.19
2936,18.95
2949,21.88
2961,20.36
2975,39.39
2987,22.29
2999,22.83
3011,24.90
3024,40.42
3038,39.91
3050,39.57
3062,40.90
3075,42.65
3087,40.53
3100,47.32
3112,44.83
3125,50.49
3137,43.84
3149,41.21
3161,15.45
3173,17.77
3187,39.86
3200,39.98
3212,39.99
3224,40.01
3237,41.25
3248,16.02
3260,12.66
3273,13.69
3287,40.99
3300,40.87
3312,40.01
3322,10.86
3335,12.14
3348,13.34
3360,16.58
3373,15.14
3385,16.33
3398,17.48
3410,14.78
3423,15.76
3435,14.89
3447,13.69
3460,11.42
3473,12.35
3485,12.37
3497,11.32
3510,12.67
3522,14.22
3535,13.33
3548,14.58
3560,13.03
3572,13.48
3585,12.97
3597,13.63
3610,14.11
3622,12.50
3635,12.67
3647,11.70
3659,11.37
3673,12.19
3685,12.45
3697,13.12
3709,12.11
3722,13.69
3735,13.33
3747,12.50
3760,12.93
3772,14.10
3784,13.07
3796,12.19
3810,12.86
3822,14.11
3834,12.88
3847,12.09
3859,13.65
3872,12.91
3885,13.53
3897,13.75
3909,12.97
3921,13.58
3935,14.41
3947,14.46
3959,14.10
3972,13.75
3984,12.97
3996,13.58
4009,14.51
4022,13.79
4034,14.41
4046,14.20
4060,14.89
4072,15.40
4084,15.07
4097,14.71
4109,15.19
4121,15.35
4134,15.81
4147,15.09
4159,16.12
4171,15.50
4184,16.69
4197,17.51
4209,18.33
4221,19.28
4234,18.92
4247,19.31
4259,20.75
