Time,Potentiometer,Thermistor
0,0,239
200,0,238
401,0,239
602,0,240
802,0,238
1003,0,239
1204,0,240
1404,0,239
1605,0,239
1806,0,238
2007,0,239
2207,0,239
2408,0,238
2609,0,238
2809,0,239
3010,0,238
3211,0,238
3411,0,239
3612,0,238
3813,0,239
4014,0,239
4214,0,238
4415,0,239
4616,0,240
4816,0,238
5017,0,238
5218,0,238
5419,0,238
5619,0,238
5820,0,239
6021,0,238
6221,0,238
6422,0,238
6623,0,239
6823,0,238
7024,0,238
7225,0,238
7426,0,238
7626,0,239
7827,0,240
8028,0,240
8228,0,239
8429,0,240
8630,0,239
8830,0,240
9031,0,239
9232,0,240
9433,0,238
9633,0,240
9834,0,239
10035,0,239
10235,0,240
10436,0,239
10637,0,238
10838,0,238
11038,0,239
11239,0,240
11440,0,241
11640,0,239
11841,0,240
12042,0,240
12242,0,239
12443,0,239
12644,0,240
12845,0,239
13045,0,241
13246,0,240
13447,0,239
13647,0,240
13848,0,240
14049,0,239
14249,0,239
14450,0,239
14651,0,240
14852,0,239
15053,0,240
15254,0,239
15455,0,240
15655,0,240
15856,0,239
16057,0,239
16258,0,240
16458,0,240
16659,0,241
16860,0,239
17060,0,238
17261,0,241
17462,0,240
17662,0,240
17863,0,240
18064,0,240
18265,0,239
18465,0,239
18666,0,239
18867,0,239
19067,0,241
19268,0,240
19469,0,239
19670,0,241
19870,0,240
20072,0,239
20273,0,239
20473,0,241
20674,27,239
20875,87,240
21075,157,239
21276,216,239
21477,279,239
21678,333,240
21878,357,239
22079,357,240
22281,388,240
22481,476,240
22682,538,240
22883,572,241
23084,599,240
23284,601,240
23485,595,239
23686,574,240
23887,571,239
24088,571,241
24289,571,240
24489,571,241
24690,571,241
24891,571,242
25092,570,241
25292,571,241
25494,571,241
25695,571,240
25895,571,241
26096,571,241
26297,571,240
26498,571,242
26698,572,243
26899,571,241
27101,571,242
27301,570,241
27502,571,241
27703,571,242
27904,571,243
28104,571,243
28305,570,243
28506,571,241
28707,571,241
28908,571,242
29109,571,243
29309,571,242
29510,571,242
29711,571,243
29912,571,243
30112,571,242
30314,571,242
30515,572,242
30715,571,244
30916,571,244
31117,571,243
31318,571,244
31518,571,244
31719,571,244
31921,572,244
32121,571,244
32322,571,244
32523,571,245
32723,571,244
32924,571,244
33125,571,244
33326,571,244
33527,570,245
33728,571,245
33929,571,245
34129,571,245
34330,571,245
34531,571,246
34732,572,244
34932,570,245
35133,571,244
35335,571,245
35535,571,245
35736,571,245
35937,571,245
36137,571,246
36338,571,245
36539,571,246
36741,571,246
36941,571,244
37142,571,247
37343,571,246
37543,571,245
37744,570,246
37945,570,245
38146,571,245
38347,570,247
38548,576,247
38749,641,245
38949,742,246
39150,840,246
39351,929,247
39552,1007,247
39752,1023,246
39954,1023,247
40155,1023,246
40355,1022,246
40556,1023,246
40757,1023,246
40957,1023,246
41159,1023,247
41360,1023,247
41561,1023,246
41761,1023,247
41962,1023,247
42164,1023,248
42364,1022,249
42565,1023,247
42766,1022,248
42967,1023,248
43167,1023,248
43369,1023,247
43570,1023,248
43770,1021,248
43971,1023,249
44172,1023,249
44372,1023,250
44574,1023,248
44775,1023,250
44976,1023,249
45176,1023,249
45377,1022,248
45578,1023,250
45779,1023,249
45980,1023,248
46181,1023,250
46382,1023,250
46582,1023,249
46783,1023,250
46985,1023,249
47185,1023,249
47386,1023,250
47587,1023,249
47788,1023,249
47988,1023,251
48190,1022,250
48391,1023,249
48591,1023,251
48792,1022,250
48993,1023,250
49193,1023,250
49395,1023,251
49596,1023,250
49797,1023,251
49997,1022,251
50198,1023,250
50400,1023,251
50600,1023,251
50801,1023,251
51002,1023,252
51203,1022,250
51403,1023,252
51605,1023,251
51806,1023,252
52006,1023,251
52207,1022,251
52408,1023,251
52609,1023,251
52810,1023,251
53011,1023,251
53212,1023,253
53412,1023,252
53613,1023,253
53814,1023,252
54016,1023,252
54216,1023,251
54417,1023,252
54618,1022,252
54818,1023,250
55019,1023,251
55221,1023,252
55421,1023,252
55622,1023,252
55823,1023,253
56024,1023,252
56224,1021,252
56426,1023,253
56627,1023,253
56827,1023,254
57028,1023,253
57229,1023,252
57431,1023,253
57631,1023,254
57832,1022,253
58033,1023,254
58233,1023,253
58434,1023,253
58636,1022,252
58836,1023,253
59037,1023,254
59238,1023,254
59439,1022,253
59639,1023,253
59841,1023,254
60042,1023,253
60242,1023,253
60443,1023,254
60644,1023,253
60845,1023,254
61046,1023,253
61247,1023,253
61448,1023,255
61648,1023,255
61849,1023,254
62050,1023,253
62252,1023,253
62452,1023,254
62653,1023,253
62854,1023,254
63054,1023,255
63255,1023,255
63457,1023,255
63657,1023,254
63858,1023,253
64059,1022,253
64260,1023,254
64461,1022,254
