Time,Potentiometer,Thermistor
13246,0,250
13447,0,250
13647,0,251
13848,0,251
14049,0,250
14249,0,251
14450,0,250
14651,0,251
14852,0,251
15053,0,251
15254,0,250
15455,0,251
15655,0,251
15856,0,251
16057,0,250
16258,0,250
16458,0,250
16659,0,251
16860,0,250
17060,0,251
17261,0,250
17462,0,250
17662,0,251
17863,0,251
18064,0,251
18265,0,250
18465,0,250
18666,0,250
18867,0,251
19067,0,250
19268,0,251
19469,0,250
19670,0,252
19870,0,250
20072,0,251
20273,0,250
20473,0,250
20674,0,251
20875,0,251
21075,0,250
21276,0,251
21477,0,251
21678,0,250
21878,0,251
22079,0,251
22280,0,250
22480,0,251
22681,0,251
22882,0,250
23083,0,251
23283,0,250
23484,0,251
23685,0,250
23885,0,251
24086,0,250
24287,0,250
24487,0,251
24688,0,251
24890,0,250
25091,0,251
25291,0,251
25492,0,250
25693,0,250
25893,0,251
26094,0,251
26295,0,251
26496,0,251
26696,0,250
26897,0,251
27098,0,252
27298,0,251
27499,0,251
27700,0,251
27900,0,251
28101,0,250
28302,0,250
28503,0,251
28703,0,251
28904,0,251
29105,0,251
29305,0,251
29506,0,251
29707,0,250
29907,0,250
30109,0,251
30310,0,251
30511,0,251
30711,0,252
30912,0,251
31113,0,251
31313,0,251
31514,0,250
31715,0,250
31916,0,251
32116,0,252
32317,0,250
32518,0,251
32718,0,250
32919,0,251
33120,0,250
33320,0,251
33521,0,250
33722,0,251
33923,0,251
34123,0,251
34324,0,250
34525,0,250
34725,0,252
34926,0,250
35128,0,250
35329,0,252
35529,0,250
35730,0,251
35931,0,251
36131,0,251
36332,0,251
36533,0,251
36733,0,250
36934,0,251
37135,0,251
37336,0,250
37536,0,251
37737,0,250
37938,0,252
38138,0,250
38339,0,251
38540,0,252
38740,0,250
38941,0,250
39142,0,251
39343,0,251
39543,0,251
39744,0,251
39946,0,251
40146,0,251
40347,0,250
40548,0,251
40749,0,251
40949,0,251
41150,0,250
41351,0,251
41551,0,251
41752,0,252
41953,0,250
42153,0,252
42354,0,251
42555,0,250
42756,0,250
42956,0,251
43157,0,252
43358,0,251
43558,0,251
43759,0,251
43960,0,251
44161,0,251
44361,0,250
44562,0,251
44763,0,252
44964,0,250
45165,0,251
45366,0,251
45566,0,251
45767,0,251
45968,0,251
46169,0,251
46369,0,251
46570,0,250
46771,0,250
46971,0,250
47172,0,251
47373,0,251
47574,0,252
47774,0,250
47975,20,251
48176,318,250
48376,371,250
48577,370,251
48779,441,251
48979,560,250
49180,603,252
49381,603,250
49582,603,252
49782,603,249
49983,604,252
50184,603,252
50385,603,253
50586,603,251
50787,603,251
50988,604,252
51188,603,251
51389,603,251
51590,603,251
51790,604,252
51992,602,252
52193,603,253
52393,603,253
52594,602,253
52795,603,253
52996,603,251
53196,603,252
53397,603,252
53599,602,253
53799,602,252
54000,602,252
54201,603,252
54402,602,252
54602,602,253
54803,602,253
55004,602,254
55205,603,253
55406,602,253
55607,603,254
55808,603,253
56008,604,254
56209,603,255
56410,602,254
56610,603,254
56812,602,255
57013,602,254
57213,604,254
57414,602,254
57615,602,254
57816,602,255
58016,603,254
58217,602,254
58419,603,255
58619,602,255
58820,603,254
59021,602,255
59222,603,256
59422,603,255
59623,602,256
59824,603,256
60025,602,255
60226,603,254
60427,602,256
60627,603,255
60828,602,256
61029,602,256
61230,602,255
61430,602,255
61632,603,256
61833,602,255
62033,603,255
62234,608,255
62435,756,256
62636,983,255
62836,1023,257
63038,1023,256
63239,1023,256
63439,1022,257
63640,1023,256
63841,1021,255
64041,1023,255
64243,1023,257
64444,1023,256
64645,1023,257
64845,1022,256
65046,1023,257
65247,1022,258
65448,1023,257
65649,1021,256
65850,1022,257
66051,1023,257
66251,1022,257
66452,1023,257
66654,1023,258
66854,1023,258
67055,1022,257
67256,1023,258
67457,1023,259
67657,1023,258
67859,1021,258
68060,1023,259
68260,1023,259
68461,1023,259
68662,1022,259
68864,1023,258
69064,1023,260
69265,1023,259
69466,1023,260
69666,1023,260
69867,1022,260
70069,1023,259
70269,1023,259
70470,1023,260
70671,1023,260
70872,1022,260
71072,1023,259
71274,1023,260
71475,1023,261
71675,1022,260
71876,1023,261
72077,1023,260
72278,1022,260
72479,1022,262
72680,1023,261
72881,1022,261
73081,1023,261
73282,1023,262
73483,1022,261
73684,1022,261
73885,1023,260
74086,1023,261
74287,1022,262
74487,1023,262
74688,1022,262
74890,1023,263
75090,1022,262
75291,1023,262
75492,1023,263
75693,1023,263
75894,1023,263
76095,1021,262
76296,1023,262
76496,1023,263
