Time,Bits_10
10,57
16,84
22,113
27,144
33,169
39,195
44,222
50,251
55,275
61,268
67,268
72,268
78,264
84,257
89,256
95,255
101,253
106,247
112,245
118,243
123,242
129,236
135,232
140,231
146,228
152,225
157,220
163,218
169,216
174,213
180,211
186,209
191,207
197,205
203,203
209,198
214,197
220,196
226,194
231,192
237,189
243,188
248,187
254,186
260,186
265,186
271,185
277,185
283,185
288,185
294,185
300,185
305,186
311,186
317,185
322,186
328,187
334,188
339,190
345,190
351,191
357,193
362,195
368,198
374,200
379,202
385,204
391,207
396,211
402,213
408,216
414,219
419,223
425,226
431,229
436,232
442,235
448,240
453,241
459,244
465,248
470,251
476,256
482,256
488,259
493,263
499,267
505,272
510,273
516,276
522,279
527,283
533,287
539,287
545,290
550,294
556,298
562,299
567,300
573,304
579,307
584,312
590,312
596,315
601,318
607,322
613,325
618,325
624,328
630,331
636,334
641,335
647,335
653,337
658,340
664,344
670,344
675,342
681,345
687,347
692,351
698,350
704,350
710,352
715,354
721,355
727,354
732,355
738,357
744,359
749,358
755,357
761,358
766,359
772,361
778,360
784,358
789,359
795,360
801,361
806,360
812,357
818,358
823,358
829,359
835,357
841,355
846,355
852,355
858,354
863,352
869,351
875,351
880,350
886,348
892,345
897,345
903,344
909,343
915,340
920,336
926,335
932,334
937,333
943,330
949,326
954,325
960,324
966,322
972,318
977,316
983,315
989,313
994,311
1000,306
1006,304
1012,302
1017,299
1023,295
1029,293
1035,291
1040,288
1046,284
1052,279
1057,278
1063,276
1069,272
1075,268
1080,264
1086,259
1092,259
1098,255
1103,252
1109,248
1115,243
1121,243
1126,240
1132,237
1138,233
1144,229
1149,226
1155,224
1161,221
1167,217
1172,214
1178,209
1184,209
1190,207
1195,204
1201,201
1207,198
1213,198
1218,196
1224,194
1230,192
1236,190
1241,188
1247,188
1253,187
1258,186
1264,185
1270,184
1276,185
1282,184
1287,184
1293,184
1299,184
1304,183
1310,185
1316,186
1322,186
1327,186
1333,187
1339,190
1345,190
1351,192
1356,193
1362,195
1368,196
1374,201
1379,202
1385,204
1391,206
1397,209
1402,214
1408,216
1414,218
1420,220
1425,223
1431,225
1437,231
1442,233
1448,236
1454,238
1460,241
1465,248
1471,252
1477,254
1483,256
1489,258
1494,261
1500,268
1506,270
1511,272
1517,274
1523,275
1529,283
1534,287
1540,289
1546,291
1552,293
1557,296
1563,303
1569,305
1575,306
1580,307
1586,308
1592,314
1598,318
1603,319
1609,320
1615,321
1621,325
1626,331
1632,332
1638,332
1644,332
1649,334
1655,339
1661,342
1667,342
1672,342
1678,341
1684,345
1690,350
1695,350
1701,349
1707,349
1713,351
1718,355
1724,357
1730,356
1736,355
1741,354
1747,357
1753,361
1758,360
1764,358
1770,355
1776,357
1781,361
1787,361
1793,359
1799,357
1804,356
1810,359
1816,362
1822,360
1827,357
1833,353
1839,355
1845,357
1850,356
1856,354
1862,350
1868,348
1873,350
1879,352
1885,349
1891,346
1896,342
1902,342
1908,344
1914,342
1919,339
1925,334
1931,331
1937,332
1942,333
1948,329
1954,325
1960,321
1965,320
1971,321
1977,318
1983,314
1988,310
1994,305
2000,307
2006,306
2011,302
2017,298
2023,292
2029,290
2034,292
2040,289
2046,285
2052,281
2057,275
2063,275
2069,272
2075,268
2080,264
2086,260
2092,256
2098,255
2103,252
2109,248
2115,244
2121,239
2126,239
2132,237
2138,233
2144,229
2149,225
2155,222
2161,219
2167,216
2172,213
2178,209
2184,205
2190,205
2195,202
2201,200
2207,197
2213,194
2218,193
2224,191
2230,190
2236,188
2241,186
2247,184
2253,184
2258,183
2264,182
2270,181
2276,180
2281,180
2287,180
2293,180
2299,179
2304,179
2310,179
2316,181
2322,181
2327,182
2333,182
2339,183
2345,186
2350,186
2356,187
2362,189
2368,190
2374,192
2379,197
2385,198
2391,200
2396,202
2402,204
2408,210
2414,212
2419,214
2425,216
2431,219
2437,221
2442,228
2448,230
2454,233
2460,235
2465,238
2471,245
2477,249
2483,252
2488,254
2494,256
2500,259
2506,266
2512,268
2517,270
2523,272
2529,274
2534,281
2540,286
2546,288
2552,290
2557,291
2563,294
2569,302
2575,303
2580,305
2586,306
2592,307
2598,313
2603,318
2609,319
2615,320
2621,320
2626,324
2632,331
2638,332
2644,332
2649,332
2655,333
2661,337
2667,341
2672,342
2678,342
2684,341
2690,344
2695,349
2701,350
2707,350
2713,349
2718,350
2724,353
2730,356
2736,355
2741,354
2747,353
2753,355
2759,359
2764,358
2770,356
2776,354
2782,355
2787,358
2793,360
2799,358
2805,355
2810,353
2816,356
2822,360
2828,357
2833,355
2839,351
2845,351
2851,353
2856,354
2862,351
2868,348
2874,345
2879,347
2885,350
2891,347
2897,344
2902,339
2908,338
2914,340
2920,339
2925,336
2931,332
2937,327
2943,328
2948,330
2954,327
2960,323
2965,319
2971,316
2977,318
2983,315
2988,312
2994,307
3000,302
3006,301
3012,302
3017,298
3023,294
3029,290
3034,286
3040,288
3046,285
3052,281
3057,277
3063,271
3069,270
3075,268
3080,265
3086,261
3092,256
3098,251
3103,253
3109,250
3115,247
3121,243
3126,237
3132,236
3138,233
3144,230
3149,227
3155,223
3161,218
3167,218
3172,215
3178,212
3184,209
3190,206
3195,205
3201,203
3207,201
3213,199
3218,196
3224,194
3230,192
3236,191
3241,190
3247,188
3253,187
3259,187
3264,186
3270,186
3276,185
3282,185
3287,185
3293,185
3299,186
3305,186
3310,186
3316,186
3322,188
3328,188
3333,189
3339,190
3345,191
3351,193
3356,197
3362,198
3368,199
3374,201
3379,203
3385,208
3391,210
3397,212
3402,214
3408,216
3414,219
3420,223
3425,225
3431,228
3437,230
3443,232
3448,240
3454,241
3460,243
3466,246
3471,249
3477,253
3483,259
3489,261
3494,263
3500,265
3506,267
3512,276
3517,279
3523,281
3529,283
3535,284
3540,289
3546,295
3552,297
3558,298
3563,300
3569,301
3575,307
3580,310
3586,311
3592,312
3598,313
3603,319
3609,324
3615,325
3621,326
3626,326
3632,329
3638,335
3644,337
3649,337
3655,337
3661,337
3667,341
3672,345
3678,346
3684,345
3690,344
3695,347
3701,352
3707,353
3713,353
3718,351
3724,352
3730,355
3736,358
3741,357
3747,356
3753,353
3759,356
3764,360
3770,360
3776,358
3782,356
3787,356
3793,359
3799,361
3805,360
3810,357
3816,354
3822,356
3828,360
3833,359
3839,356
3845,352
3851,351
3856,353
3862,355
3868,352
3874,349
3879,345
3885,346
3891,348
3897,346
3902,343
3908,338
3914,336
3920,337
3925,338
3931,334
3937,331
3943,326
3948,325
3954,327
3960,324
3966,321
3971,317
3977,313
3983,314
3989,313
3994,310
4000,305
4006,300
4012,298
4017,300
4023,296
4029,292
4035,287
4040,282
4046,283
4052,280
4058,277
4063,273
4069,268
4075,264
4081,264
4086,261
4092,257
4098,253
4103,248
4109,248
4115,245
4121,242
4126,238
4132,234
4138,230
4144,229
4149,226
4155,223
4161,219
4167,214
4172,213
4178,211
4184,208
4190,206
4195,202
4201,200
4207,198
4213,196
4218,194
4224,192
4230,190
4236,189
4241,188
4247,186
4253,185
4259,184
4264,185
4270,184
4276,184
4282,184
4287,184
4293,183
4299,185
4305,185
4310,185
4316,185
4322,186
4328,188
4333,189
4339,190
4345,191
4351,192
4356,194
4362,198
4368,199
4374,201
4379,203
4385,205
4391,210
4397,212
4402,214
4408,216
4414,219
4420,221
4425,228
4431,230
4437,232
4443,234
4448,237
4454,244
4460,247
4466,250
4471,252
4477,254
4483,256
4489,263
4494,265
4500,267
4506,269
4512,270
4517,278
4523,283
4529,285
4535,286
4540,288
4546,291
4552,299
4558,300
4563,302
4569,303
4575,304
4581,310
4586,315
4592,316
4598,317
4604,317
4609,321
4615,328
4621,329
4627,330
4632,330
4638,330
4644,335
4650,339
4655,339
4661,339
4667,339
4673,342
4678,348
4684,349
4690,348
4695,348
4701,348
4707,352
4713,355
4718,355
4724,353
4730,352
4736,354
4741,358
4747,357
4753,355
4759,353
4764,353
4770,356
4776,358
4782,356
4787,353
4793,351
4799,353
4805,357
4810,356
4816,353
4822,349
4828,348
4833,351
4839,352
4845,349
4851,346
4856,342
4862,344
4868,347
4874,345
4879,341
4885,337
4891,336
4897,337
4902,338
4908,335
4914,332
4920,327
4925,327
4931,330
4937,327
4943,324
4948,320
4954,316
4960,318
4966,318
4971,314
4977,311
4983,306
4989,304
4994,307
5000,304
5006,300
5012,296
5017,291
5023,292
5029,290
5035,287
5040,283
5046,278
5052,275
5058,275
5063,272
5069,268
5075,264
5081,259
5086,259
5092,256
5098,252
5104,249
5109,244
5115,241
5121,240
5127,237
5132,234
5138,230
5144,225
5150,225
5155,223
5161,220
5167,217
5173,213
5178,210
5184,209
5190,206
5196,204
5201,201
5207,198
5213,197
5219,195
5224,193
5230,191
5236,189
5242,188
5247,187
5253,186
5259,185
5265,184
5270,183
5276,184
5282,183
5288,183
5293,183
5299,183
5305,184
5311,184
5316,185
5322,185
5328,186
5334,186
5339,189
5345,190
5351,192
5357,193
5362,195
5368,198
5374,201
5380,203
5385,205
5391,207
5397,209
5403,215
5408,217
5414,219
5420,221
5426,224
5431,229
5437,233
5443,235
5449,238
5454,240
5460,242
5466,250
5472,252
5477,254
5483,257
5489,259
5495,264
5500,270
5506,271
5512,273
5518,275
5523,277
5529,285
