Time,Bits
10,100
16,100
22,100
27,100
33,100
39,101
44,101
50,101
55,101
61,101
67,102
72,102
78,102
84,102
89,102
95,102
100,102
106,103
112,103
117,103
123,103
129,103
134,103
140,103
146,103
151,104
157,104
163,104
169,104
174,104
180,104
186,104
191,104
197,104
203,104
208,104
214,104
220,104
225,104
231,104
237,104
242,104
248,104
254,104
259,104
265,104
271,104
276,104
282,104
288,104
293,104
299,104
305,104
310,104
316,104
322,104
328,104
333,104
339,104
345,104
350,104
356,103
362,103
367,103
373,103
379,103
384,103
390,103
396,103
401,102
407,102
413,102
418,102
424,102
430,102
436,101
441,101
447,101
453,101
458,101
464,101
470,100
475,100
481,100
487,100
492,100
498,100
504,99
509,99
515,99
521,99
526,99
532,99
537,98
543,98
549,98
554,98
560,98
566,98
571,97
577,97
582,97
588,97
594,97
599,97
605,96
611,96
616,96
622,96
627,96
633,96
639,96
644,96
650,95
656,95
661,95
667,95
673,95
678,95
684,95
689,95
695,95
701,95
706,95
712,95
718,95
723,95
729,95
734,95
740,95
746,95
751,95
757,95
763,95
768,95
774,95
779,95
785,95
791,95
796,95
802,95
808,95
813,95
819,95
825,95
830,95
836,95
841,95
847,95
853,95
858,96
864,96
870,96
875,96
881,96
886,96
892,96
898,97
903,97
909,97
915,97
920,97
926,97
932,97
937,98
943,98
948,98
954,98
960,98
965,98
971,99
977,99
982,99
988,99
993,99
999,99
1005,100
1011,100
1016,100
1022,100
1028,100
1033,101
1039,101
1045,101
1051,101
1056,101
1062,101
1068,102
1074,102
1079,102
1085,102
1091,102
1096,102
1102,102
1108,103
1114,103
1119,103
1125,103
1131,103
1137,103
1142,103
1148,103
1154,104
1159,104
1165,104
1171,104
1177,104
1182,104
1188,104
1194,104
1200,104
1205,104
1211,104
1217,104
1223,104
1228,104
1234,104
1240,104
1245,104
1251,104
1257,104
1263,104
1268,104
1274,104
1280,104
1286,104
1291,104
1297,104
1303,104
1309,104
1314,104
1320,104
1326,104
1331,104
1337,104
1343,104
1349,104
1354,103
1360,103
1366,103
1372,103
1377,103
1383,103
1389,103
1395,103
1400,102
1406,102
1412,102
1418,102
1423,102
1429,102
1435,102
1440,101
1446,101
1452,101
1458,101
1463,101
1469,100
1475,100
1481,100
1486,100
1492,100
1498,100
1504,99
1509,99
1515,99
1521,99
1526,99
1532,99
1538,98
1543,98
1549,98
1555,98
1560,98
1566,98
1572,97
1577,97
1583,97
1589,97
1594,97
1600,97
1606,96
1611,96
1617,96
1623,96
1628,96
1634,96
1640,96
1645,96
1651,95
1657,95
1663,95
1668,95
1674,95
1680,95
1685,95
1691,95
1697,95
1702,95
1708,95
1714,95
1719,95
1725,95
1731,95
1736,95
1742,95
1748,95
1753,95
1759,95
1765,95
1770,95
1776,95
1782,95
1787,95
1793,95
1799,95
1804,95
1810,95
1816,95
1822,95
1827,95
1833,95
1839,95
1844,95
1850,95
1856,96
1861,96
1867,96
1873,96
1878,96
1884,96
1890,96
1895,96
1901,97
1907,97
1913,97
1918,97
1924,97
1930,97
1935,98
1941,98
1947,98
1952,98
1958,98
1964,98
1969,99
1975,99
1981,99
1986,99
1992,99
1998,99
2003,100
2009,100
2015,100
2021,100
2026,100
2032,100
2038,101
2044,101
2049,101
2055,101
2061,101
2066,102
2072,102
2078,102
2084,102
2089,102
2095,102
2101,102
2107,103
2112,103
2118,103
2124,103
2130,103
2135,103
2141,103
2147,103
2152,104
2158,104
2164,104
2170,104
2175,104
2181,104
2187,104
2193,104
2198,104
2204,104
2210,104
2216,104
2221,104
2227,104
2233,104
2238,104
2244,104
2250,104
2256,104
2261,104
2267,104
2273,104
2279,104
2284,104
2290,104
2296,104
2302,104
2307,104
2313,104
2319,104
2325,104
2330,104
2336,104
2342,104
2347,104
2353,103
2359,103
2365,103
2370,103
2376,103
2382,103
2388,103
2393,103
2399,102
2405,102
2411,102
2416,102
2422,102
2428,102
2434,102
2439,101
2445,101
2451,101
2456,101
2462,101
2468,101
2474,100
2479,100
2485,100
2491,100
2497,100
2502,99
2508,99
2514,99
2519,99
2525,99
2531,99
2536,98
2542,98
2548,98
2554,98
2559,98
2565,98
2571,97
2576,97
2582,97
2588,97
2593,97
2599,97
2605,96
2610,96
2616,96
2622,96
2627,96
2633,96
2639,96
2644,96
2650,95
2656,95
2661,95
2667,95
2673,95
2678,95
2684,95
2690,95
2695,95
2701,95
2707,95
2712,95
2718,95
2724,95
2729,95
2735,95
2741,95
2747,95
2752,95
2758,95
2764,95
2769,95
2775,95
2781,95
2786,95
2792,95
2798,95
2803,95
2809,95
2815,95
2820,95
2826,95
2832,95
2837,95
2843,95
2849,95
2855,96
2860,96
2866,96
2872,96
2877,96
2883,96
2889,96
2894,96
2900,97
2906,97
2911,97
2917,97
2923,97
2928,97
2934,97
2940,98
2945,98
2951,98
2957,98
2963,98
2968,98
2974,99
2980,99
2985,99
2991,99
2997,99
3002,100
3008,100
3014,100
3020,100
3025,100
3031,100
3037,101
3042,101
3048,101
3054,101
3060,101
3065,101
3071,102
3077,102
3083,102
3088,102
3094,102
3100,102
3106,103
3111,103
3117,103
3123,103
3128,103
3134,103
3140,103
3146,103
3151,104
3157,104
3163,104
3169,104
3174,104
3180,104
3186,104
3192,104
3197,104
3203,104
3209,104
3214,104
3220,104
3226,104
3232,104
3237,104
3243,104
3249,104
3255,104
3260,104
3266,104
3272,104
3277,104
3283,104
3289,104
3295,104
3300,104
3306,104
3312,104
3318,104
3323,104
3329,104
3335,104
3341,104
3346,104
3352,104
3358,103
3364,103
3369,103
3375,103
3381,103
3386,103
3392,103
3398,103
3404,102
3409,102
3415,102
3421,102
3427,102
3432,102
3438,101
3444,101
3450,101
3455,101
3461,101
3467,101
3473,100
3478,100
3484,100
3490,100
3495,100
3501,99
3507,99
3513,99
3518,99
3524,99
3530,99
3535,98
3541,98
3547,98
3552,98
3558,98
3564,98
3569,97
3575,97
3581,97
3586,97
3592,97
3598,97
3603,96
3609,96
3615,96
3620,96
3626,96
3632,96
3638,96
3643,96
3649,95
3655,95
3660,95
3666,95
3672,95
3677,95
3683,95
3689,95
3694,95
3700,95
3706,95
3711,95
3717,95
3723,95
3728,95
3734,95
3740,95
3745,95
3751,95
3757,95
3762,95
3768,95
3774,95
3780,95
3785,95
3791,95
3797,95
3802,95
3808,95
3814,95
3819,95
3825,95
3831,95
3836,95
3842,95
3848,95
3853,96
3859,96
3865,96
3871,96
3876,96
3882,96
3888,96
3893,96
3899,97
3905,97
3910,97
3916,97
3922,97
3927,97
3933,97
3939,98
3944,98
3950,98
3956,98
3961,98
3967,98
3973,99
3979,99
3984,99
3990,99
3996,99
4001,99
4007,100
4013,100
4018,100
4024,100
4030,100
4036,101
4041,101
4047,101
4053,101
4059,101
4064,101
4070,102
4076,102
4081,102
4087,102
4093,102
4099,102
4104,103
4110,103
4116,103
4122,103
4127,103
4133,103
4139,103
4145,103
4150,104
4156,104
4162,104
4168,104
4173,104
4179,104
4185,104
4190,104
4196,104
4202,104
4208,104
4213,104
4219,104
4225,104
4231,104
4236,104
4242,104
4248,104
4254,104
4259,104
4265,104
4271,104
4276,104
4282,104
4288,104
4294,104
4299,104
4305,104
4311,104
4317,104
4322,104
4328,104
4334,104
4340,104
4345,104
4351,104
4357,103
4363,103
4368,103
4374,103
4380,103
4385,103
4391,103
4397,103
4403,102
4408,102
4414,102
4420,102
4426,102
4431,102
4437,101
4443,101
4449,101
4454,101
4460,101
4466,101
4472,100
4477,100
4483,100
4489,100
4495,100
4500,100
4506,99
4512,99
4517,99
4523,99
4529,99
4534,98
4540,98
4546,98
4551,98
4557,98
4563,98
4568,97
4574,97
4580,97
4585,97
4591,97
4597,97
4603,97
4608,96
4614,96
4620,96
4625,96
4631,96
4637,96
4642,96
4648,96
4654,95
4659,95
4665,95
4671,95
4676,95
4682,95
4688,95
4693,95
4699,95
4705,95
4710,95
4716,95
4722,95
4727,95
4733,95
4739,95
4745,95
4750,95
4756,95
4762,95
4767,95
4773,95
4779,95
4784,95
4790,95
4796,95
4801,95
4807,95
4813,95
4818,95
4824,95
4830,95
4836,95
4841,95
4847,95
4853,95
4858,96
4864,96
4870,96
4875,96
4881,96
4887,96
4892,96
4898,96
4904,97
4909,97
4915,97
4921,97
4926,97
4932,97
4938,98
4944,98
4949,98
4955,98
4961,98
4966,98
4972,99
4978,99
4983,99
4989,99
4995,99
5000,100
5006,100
5012,100
5018,100
5023,100
5029,100
5035,101
5041,101
5046,101
5052,101
5058,101
5064,101
5069,102
5075,102
5081,102
5086,102
5092,102
5098,102
5104,103
5109,103
5115,103
5121,103
5127,103
5132,103
5138,103
5144,103
5150,104
5155,104
5161,104
5167,104
5172,104
5178,104
5184,104
5190,104
5195,104
5201,104
5207,104
5213,104
5218,104
5224,104
5230,104
5236,104
5241,104
5247,104
5253,104
5258,104
5264,104
5270,104
5276,104
5281,104
5287,104
5293,104
5299,104
5304,104
5310,104
5316,104
5322,104
5327,104
5333,104
5339,104
5345,104
5350,104
5356,103
5362,103
5368,103
5373,103
5379,103
5385,103
5390,103
5396,103
5402,102
5408,102
5413,102
5419,102
5425,102
5431,102
5436,101
5442,101
5448,101
5454,101
5459,101
5465,101
5471,100
5477,100
5482,100
5488,100
5494,100
5499,100
5505,99
5511,99
5517,99
5522,99
5528,99
5534,98
5539,98
5545,98
5551,98
5556,98
5562,98
5568,97
5573,97
5579,97
5585,97
5590,97
5596,97
5602,97
5607,96
5613,96
5619,96
5624,96
5630,96
5636,96
5642,96
5647,96
5653,95
5659,95
5664,95
5670,95
5676,95
5681,95
5687,95
5693,95
5698,95
5704,95
5710,95
5715,95
5721,95
5727,95
5732,95
5738,95
5744,95
5749,95
5755,95
5761,95
5767,95
5772,95
5778,95
5784,95
