Time,Bits
10,65
16,98
22,135
27,171
33,205
39,238
44,274
50,311
55,347
61,346
67,349
72,354
78,353
84,349
89,350
95,355
101,355
106,352
112,350
118,354
123,356
129,354
135,352
140,353
146,356
152,355
157,354
163,352
169,353
174,355
180,354
186,352
192,352
197,354
203,354
209,353
214,351
220,353
226,355
231,354
237,353
243,351
248,353
254,355
260,354
265,353
271,352
277,353
283,354
288,354
294,353
300,353
305,354
311,354
317,353
322,353
328,354
334,355
340,354
345,354
351,353
357,353
362,354
368,354
374,354
379,353
385,354
391,355
397,355
402,354
408,353
414,355
419,356
425,356
431,355
436,354
442,355
448,356
454,356
459,355
465,355
471,356
476,356
482,356
488,355
493,356
499,358
505,357
511,357
516,356
522,357
528,359
533,358
539,358
545,357
550,358
556,360
562,360
567,359
573,358
579,360
585,361
590,360
596,359
602,359
607,361
613,360
619,360
624,359
630,360
636,362
641,361
647,361
653,359
659,361
664,363
670,362
676,362
681,360
687,362
693,363
698,363
704,362
710,361
715,363
721,362
727,362
733,361
738,361
744,363
750,362
755,361
761,360
767,362
772,363
778,363
784,362
789,361
795,362
801,363
807,363
812,362
818,361
824,362
829,363
835,363
841,362
846,361
852,362
858,362
864,361
869,360
875,360
881,361
886,360
892,360
898,359
903,360
909,361
915,360
921,360
926,359
932,360
938,361
943,360
949,359
955,358
960,359
966,360
972,360
978,359
983,358
989,358
995,359
1000,359
1006,358
1012,358
1018,358
1023,357
1029,357
1035,357
1041,359
1046,357
1052,354
1058,355
1064,356
1069,358
1075,357
1081,354
1087,353
1092,354
1098,356
1104,357
1110,355
1115,352
1121,353
1127,354
1133,357
1138,355
1144,352
1150,352
1156,353
1161,355
1167,356
1173,353
1179,350
1184,351
1190,353
1196,355
1201,353
1207,350
1213,350
1219,352
1224,353
1230,354
1236,352
1242,349
1247,350
1253,352
1259,354
1265,352
1270,349
1276,349
1282,351
1288,353
1293,353
1299,351
1305,349
1311,350
1316,352
1322,355
1328,353
1334,349
1339,350
1345,351
