Time,Bits_1
5,34
10,67
16,99
22,136
27,173
33,207
39,240
44,275
50,312
55,347
61,344
67,345
72,350
78,347
84,341
89,339
95,344
101,343
106,337
112,334
118,336
123,338
129,334
135,328
140,329
146,330
152,327
157,324
163,322
169,322
174,322
180,320
186,316
191,316
197,317
203,318
209,315
214,311
220,311
226,312
231,311
237,308
243,307
248,308
254,310
260,308
265,305
271,307
277,307
283,309
288,308
294,306
300,307
305,308
311,309
317,308
322,306
328,308
334,309
339,310
345,309
351,309
357,311
362,313
368,313
374,313
379,315
385,318
391,320
396,320
402,321
408,323
414,326
419,329
425,329
431,330
436,332
442,335
448,337
453,338
459,338
465,341
470,344
476,345
482,346
488,346
493,349
499,353
505,354
510,355
516,356
522,359
527,362
533,363
539,364
545,365
550,368
556,370
562,370
567,371
573,374
579,377
584,378
590,379
596,379
601,383
607,386
613,387
618,387
624,388
630,391
636,393
641,393
647,394
653,394
658,397
664,397
670,398
675,398
681,398
687,401
692,402
698,402
704,402
710,403
715,405
721,405
727,405
732,405
738,407
744,407
749,407
755,407
761,406
767,408
772,408
778,408
784,407
789,407
795,408
801,408
806,407
812,407
818,406
823,407
829,407
835,406
841,406
846,404
852,405
858,404
863,404
869,402
875,402
880,401
886,401
892,399
898,398
903,398
909,397
915,396
920,394
926,391
932,392
937,390
943,389
949,387
955,384
960,384
966,382
972,381
977,378
983,376
989,376
994,374
1000,373
1006,370
1012,369
1017,367
1023,366
1029,365
1035,364
1040,361
1046,357
1052,355
1058,355
1063,355
1069,354
1075,350
1081,345
1086,345
1092,345
1098,346
1104,342
1109,338
1115,336
1121,336
1127,336
1132,333
1138,330
1144,325
1149,325
1155,326
1161,326
1167,322
1172,319
1178,317
1184,317
1190,319
1195,316
1201,313
1207,309
1213,310
1218,312
1224,311
1230,309
1236,306
1241,306
1247,307
1253,309
1259,307
1264,305
1270,302
1276,304
1282,308
1287,307
1293,305
1299,302
1305,303
1310,306
1316,309
1322,308
1328,306
1333,304
1339,307
1345,311
1351,312
1356,311
1362,309
1368,310
1374,314
1379,318
1385,317
1391,316
1397,315
1402,318
1408,323
1414,325
1420,324
1425,323
1431,326
1437,330
1443,335
1448,335
1454,334
1460,334
1466,338
1471,342
1477,345
1483,344
1489,343
1494,346
1500,350
1506,355
1512,356
1517,355
1523,355
1529,358
1535,362
1540,366
1546,365
1552,364
1558,366
1563,369
1569,373
1575,374
1581,373
1586,375
1592,377
1598,380
1604,384
1609,383
1615,383
1621,385
1627,387
1632,390
1638,391
1644,389
1649,391
1655,392
1661,395
1667,397
1672,395
1678,396
1684,398
1690,399
1695,401
1701,401
1707,400
1713,401
1718,402
1724,404
1730,405
1736,403
1741,404
1747,404
1753,405
1759,407
1764,405
1770,404
1776,405
1782,405
1787,406
1793,407
1799,404
1805,404
1810,405
1816,405
1822,406
1828,404
1833,402
1839,402
1845,403
1851,403
1856,403
1862,399
1868,399
1874,399
1879,399
1885,400
1891,397
1897,394
1902,394
1908,394
1914,394
1920,393
1925,388
1931,388
1937,387
1943,387
1948,387
1954,383
1960,380
1966,380
1971,380
1977,380
1983,377
1989,372
1994,370
2000,370
2006,370
2012,370
2017,366
2023,361
2029,362
2035,361
2040,362
2046,358
2052,354
2058,351
2063,351
2069,351
2075,349
2081,346
2086,341
2092,341
2098,340
2104,341
2109,337
2115,333
2121,331
2126,331
2132,332
2138,329
2144,325
2149,321
2155,321
2161,322
2167,322
2172,319
2178,315
2184,313
2190,314
2195,315
2201,313
2207,310
2213,306
2218,307
2224,309
2230,308
2236,306
2241,303
2247,302
2253,304
2259,306
2264,304
2270,302
2276,299
2282,301
2287,305
2293,305
2299,303
