Time,Bits_smooth
10,14
16,20
22,28
27,36
33,42
38,50
44,57
49,65
55,71
61,78
66,86
72,93
77,99
83,107
89,114
94,121
100,127
106,134
111,142
117,149
123,155
128,162
134,169
140,176
145,183
151,189
157,195
162,202
168,209
174,216
179,222
185,228
191,235
196,242
202,248
208,254
214,261
219,268
225,275
231,280
236,286
242,293
248,300
253,306
259,312
265,319
270,325
276,332
282,338
288,337
293,337
299,337
305,336
310,334
316,334
322,333
327,332
333,332
339,331
344,331
350,330
356,330
362,330
367,329
373,328
379,328
384,329
390,329
396,327
401,327
407,328
413,328
419,328
424,327
430,328
436,329
441,330
447,330
453,330
458,330
464,332
470,333
475,333
481,333
487,334
493,336
498,337
504,337
510,337
515,339
521,341
527,342
532,342
538,343
544,346
550,347
555,348
561,348
567,350
572,352
578,354
584,355
589,355
595,357
601,359
606,361
612,362
618,363
623,365
629,367
635,368
641,369
646,370
652,373
658,375
663,376
669,376
675,378
680,380
686,382
692,383
697,383
703,385
709,387
715,388
720,389
726,390
732,391
737,393
743,394
749,395
754,395
760,397
766,398
771,399
777,399
783,400
789,402
794,403
800,403
806,403
811,404
817,405
823,406
828,406
834,406
840,407
846,408
851,409
857,409
863,408
868,409
874,410
880,410
885,410
891,409
897,410
903,410
908,410
914,409
920,409
925,409
931,409
937,409
942,408
948,407
954,407
959,407
965,406
971,404
977,404
982,404
988,403
994,402
999,400
1005,399
1011,399
1017,398
1022,397
1028,395
1034,394
1040,393
1045,392
1051,390
1057,389
1063,387
1068,386
1074,385
1080,383
1085,381
1091,380
1097,378
1103,377
1108,375
1114,374
1120,372
1126,370
1131,368
1137,367
1143,365
1149,363
1154,361
1160,359
1166,358
1172,357
1177,355
1183,352
1189,350
1195,349
1200,348
1206,347
1212,344
1218,342
1223,340
1229,340
1235,339
1241,337
1246,335
1252,333
1258,333
1264,332
1269,331
1275,329
1281,327
1287,327
1292,326
1298,325
1304,324
1310,323
1315,322
1321,322
1327,322
1333,321
1338,319
1344,319
1350,319
1356,319
1361,319
1367,318
1373,318
1379,318
1384,318
1390,318
1396,318
1402,318
1407,318
1413,319
1419,320
1425,320
1430,320
1436,320
1442,321
1448,322
1453,323
1459,323
1465,323
1471,325
1476,326
1482,327
1488,327
1494,328
1499,329
1505,331
1511,332
1517,333
1522,334
1528,335
1534,337
1540,338
1545,340
1551,341
1557,342
1562,344
1568,345
1574,347
1580,348
1585,349
1591,351
1597,353
1603,355
1608,356
1614,357
1620,359
1626,360
1631,362
1637,364
1643,365
1649,367
1654,368
1660,370
1666,372
1672,373
1677,375
1683,376
1689,377
1695,379
1700,381
1706,382
1712,383
1718,384
1723,386
1729,388
1735,389
1741,390
1746,391
1752,392
1758,394
1763,395
1769,396
1775,396
1781,397
1787,399
1792,400
1798,401
1804,401
1810,402
1815,403
1821,404
1827,405
1833,405
1838,405
1844,406
1850,407
1856,407
1861,408
1867,408
1873,408
1879,408
1884,409
1890,409
1896,409
1902,409
1907,408
1913,409
1919,409
1924,409
1930,408
1936,408
1942,407
1947,407
1953,407
1959,407
1965,406
1970,405
1976,405
1982,405
1988,404
1993,403
1999,402
2005,401
2011,401
2016,400
2022,399
2028,398
2034,397
2039,396
2045,395
2051,394
2057,393
2062,391
2068,390
2074,389
2080,388
2085,387
2091,385
2097,383
2103,383
2108,381
2114,380
2120,379
2126,377
2131,375
2137,374
2143,373
2149,371
2154,369
2160,368
2166,367
2172,365
2177,364
2183,362
2189,360
2195,359
2200,358
2206,357
2212,355
2218,353
2223,351
2229,350
2235,350
2240,348
2246,346
2252,345
2258,344
2264,343
2269,342
2275,340
2281,339
2287,338
2292,337
2298,336
2304,335
2309,334
2315,333
2321,332
2327,332
2333,331
2338,330
2344,329
2350,329
2356,328
2361,328
