Time,Bits
100,74
105,74
111,74
117,74
122,74
128,74
133,74
139,73
145,74
150,74
156,74
162,73
167,74
173,74
179,74
184,74
190,74
195,74
201,74
207,74
212,73
218,73
224,73
229,73
235,72
240,72
246,72
252,72
257,72
263,72
269,72
274,72
280,72
286,72
291,73
297,73
302,73
308,73
314,73
319,73
325,73
331,72
336,72
342,72
348,72
353,71
359,72
365,72
370,72
376,72
381,72
387,72
393,72
398,72
404,72
410,72
415,72
421,72
427,71
432,71
438,71
444,71
449,71
455,70
460,71
466,71
472,70
477,70
483,70
489,70
494,70
500,70
506,70
511,71
517,70
523,70
528,70
534,71
540,71
545,70
551,70
556,71
562,70
568,70
573,70
579,70
585,70
590,70
596,70
602,70
607,71
613,70
618,70
624,70
630,70
635,70
641,69
647,69
652,69
658,69
663,69
669,69
675,69
680,69
686,69
692,69
697,69
703,69
709,69
714,69
720,69
725,69
731,69
737,69
742,69
748,69
754,69
759,69
765,69
771,69
776,69
782,69
788,69
793,69
799,69
804,69
810,68
816,68
821,69
827,69
833,69
838,69
844,69
850,69
855,69
861,69
867,69
872,69
878,68
883,68
889,68
895,69
900,68
906,68
912,68
917,68
923,68
929,68
934,68
940,68
946,68
951,67
957,67
962,68
968,68
974,68
979,67
985,68
991,68
996,68
1002,68
1008,68
1013,68
1019,69
1025,68
1030,68
1036,69
1042,68
1047,68
1053,68
1059,68
1065,68
1070,68
1076,67
1082,67
1087,67
1093,67
1099,67
1104,67
1110,67
1116,67
1121,67
1127,67
1133,68
1139,68
1144,68
1150,68
1156,69
1161,68
1167,69
1173,69
1178,68
1184,68
1190,68
1195,68
1201,68
1207,68
1212,67
1218,67
1224,67
1230,67
1235,67
1241,67
1247,67
1252,67
1258,67
1264,67
1269,67
1275,67
1281,66
1286,66
1292,66
1298,66
1304,66
1309,66
1315,65
1321,64
1326,64
1332,64
1338,64
1343,64
1349,64
1355,63
1361,63
1366,64
1372,63
1378,63
1383,63
1389,63
1395,63
1400,63
1406,63
1412,63
1418,62
1423,62
1429,62
1435,62
1440,62
1446,61
1452,61
1457,60
1463,60
1469,60
1474,59
1480,59
1486,59
1492,58
1497,58
1503,58
1509,58
1514,58
1520,58
1526,58
1531,58
1537,57
