Time,Bits
5,47
10,83
16,121
22,163
27,208
33,243
39,279
44,318
50,359
55,394
61,381
67,381
72,380
78,375
84,361
89,360
95,359
101,358
106,345
112,340
118,337
123,334
129,325
135,316
140,311
146,306
152,301
157,288
163,284
169,279
174,274
180,268
186,262
192,258
197,254
203,249
209,242
214,239
220,235
226,231
231,227
237,220
243,217
248,215
254,212
260,211
265,207
271,207
277,206
283,205
288,206
294,206
300,207
305,208
311,209
317,210
322,212
328,214
334,218
340,223
345,222
351,226
357,230
362,235
368,242
374,243
379,247
385,252
391,258
396,266
402,270
408,275
414,281
419,289
425,298
431,304
436,310
442,318
448,326
453,331
459,337
465,344
470,351
476,359
482,360
488,365
493,371
499,378
505,387
510,389
516,395
522,400
527,407
533,414
539,415
545,420
550,426
556,433
562,435
567,434
573,439
579,445
584,452
590,451
596,453
601,458
607,464
613,470
618,469
624,473
630,478
636,483
641,486
647,486
653,490
658,495
664,501
670,501
675,500
681,503
687,507
692,512
698,512
704,510
710,512
715,516
721,518
727,517
732,516
738,519
744,522
749,521
755,519
761,521
767,523
772,524
778,523
784,520
789,521
795,523
801,524
806,522
812,518
818,519
824,520
829,521
835,519
841,515
846,515
852,516
858,517
863,514
869,511
875,511
880,511
886,510
892,506
898,505
903,504
909,503
915,499
920,494
926,492
932,491
937,490
943,485
949,476
955,474
960,472
966,471
972,466
977,459
983,457
989,454
994,452
1000,447
1006,444
1012,440
1017,435
1023,429
1029,427
1035,422
1040,417
1046,410
1052,401
1058,397
1063,399
1069,393
1075,386
1081,378
1086,368
1092,373
1098,367
1104,360
1109,352
1115,343
1121,337
1127,332
1132,326
1138,319
1144,311
1149,300
1155,302
1161,296
1167,290
1172,283
1178,274
1184,273
1190,268
1195,262
1201,256
1207,250
1213,241
1218,240
1224,236
1230,231
1236,227
1241,221
1247,221
1253,218
1259,216
1264,213
1270,212
1276,209
1282,211
1287,211
1293,211
1299,211
1305,211
1310,215
1316,216
1322,218
1328,219
1333,221
1339,224
1345,231
1351,233
1356,236
1362,240
1368,244
