Time,Bits_1
10,58
16,85
22,114
27,145
33,171
39,197
44,224
50,253
55,278
61,271
67,271
72,271
78,267
84,259
89,259
95,257
101,256
106,250
112,248
118,246
123,244
129,239
135,235
140,233
146,231
152,228
157,222
163,220
169,218
174,216
180,213
186,211
191,209
197,207
203,205
209,201
214,199
220,198
226,196
231,194
237,191
243,190
248,189
254,188
260,188
265,188
271,187
277,187
283,187
288,187
294,187
300,187
305,188
311,188
317,188
322,189
328,189
334,191
339,193
345,192
351,194
357,195
362,197
368,200
374,202
379,204
385,206
391,209
396,213
402,215
408,218
414,221
419,224
425,229
431,231
436,234
442,237
448,241
453,243
459,246
465,249
470,253
476,258
482,257
488,260
493,264
499,268
505,273
510,274
516,277
522,281
527,285
533,288
539,289
545,292
550,295
556,299
562,301
567,302
573,305
579,309
584,314
590,314
596,317
601,320
607,324
613,327
618,327
624,330
630,333
636,336
641,337
647,337
653,339
658,342
664,345
670,345
675,344
681,346
687,349
692,352
698,352
704,351
710,353
715,356
721,357
727,356
732,357
738,359
744,361
749,360
755,358
761,360
766,361
772,363
778,362
784,360
789,360
795,361
801,362
806,361
812,359
818,360
823,360
829,361
835,359
841,357
846,357
852,357
858,356
863,354
869,353
875,353
880,352
886,350
892,347
897,347
903,346
909,345
915,343
920,339
926,338
932,337
937,336
943,333
949,328
954,327
960,326
966,324
972,320
977,318
983,316
989,314
994,312
1000,308
1006,306
1012,303
1017,300
1023,296
1029,296
1035,293
1040,289
1046,285
1052,280
1058,279
1063,278
1069,274
1075,270
1080,266
1086,260
1092,262
1098,259
1103,255
1109,251
1115,246
1121,245
1126,242
1132,239
1138,235
1144,231
1149,227
1155,226
1161,223
1167,220
1172,216
1178,212
1184,212
1190,210
1195,208
1201,205
1207,202
1213,199
1218,197
1224,196
1230,194
1236,192
1241,190
1247,190
1253,188
1259,187
1264,187
1270,186
1276,187
1282,186
1287,185
1293,185
1299,185
1305,185
1310,187
1316,187
1322,187
1328,188
1333,189
1339,191
1345,192
1351,193
1356,194
1362,196
1368,198
1374,202
1379,204
1385,206
1391,208
1397,210
1402,216
1408,218
1414,220
1420,223
1425,225
1431,228
1437,234
1443,236
1448,239
1454,241
1460,243
1465,250
1471,254
1477,257
1483,259
1489,261
1494,263
1500,271
1506,272
1512,274
1517,276
1523,278
1529,285
1534,290
1540,291
1546,293
1552,294
1557,297
1563,305
1569,306
1575,307
1580,309
1586,310
1592,316
1598,320
1603,321
1609,322
1615,323
1621,327
1626,333
1632,334
1638,334
1644,335
1649,336
1655,341
1661,344
1667,344
1672,344
1678,343
1684,347
1690,353
1695,352
1701,352
1707,351
1713,353
1718,357
1724,359
1730,358
1736,357
1741,356
1747,359
1753,363
1758,361
1764,360
1770,357
1776,360
1781,363
1787,363
1793,362
1799,359
1804,358
1810,361
1816,363
1822,361
1827,359
1833,355
1839,356
1845,359
1850,359
1856,356
1862,353
1868,351
1873,353
1879,355
1885,352
1891,349
1896,344
1902,344
1908,347
1914,344
1919,341
1925,337
