Time,Bits
10,58
16,85
22,114
27,145
33,171
39,197
44,224
50,253
55,278
61,271
67,271
72,270
78,266
84,259
89,258
95,257
101,255
106,249
112,247
118,245
123,243
129,238
135,234
140,232
146,229
152,227
157,221
163,219
169,216
174,214
180,211
186,209
191,207
197,204
203,202
209,199
214,197
220,195
226,194
231,192
237,189
243,188
248,187
254,186
260,186
265,185
271,184
277,184
283,184
288,184
294,184
300,184
305,185
311,185
317,185
322,186
328,187
334,188
339,190
345,189
351,191
357,193
362,195
368,198
374,199
379,201
385,203
391,206
396,210
402,213
408,216
414,219
419,223
425,227
431,230
436,233
442,236
448,240
453,242
459,245
465,249
470,252
476,257
482,257
488,260
493,264
499,268
505,273
510,274
516,277
522,281
527,285
533,289
539,290
545,292
550,296
556,300
562,301
567,303
573,306
579,310
584,315
590,315
596,318
601,321
607,325
613,329
618,328
624,331
630,334
636,337
641,339
647,338
653,341
658,343
664,347
670,346
675,346
681,348
687,350
692,354
698,353
704,353
710,355
715,357
721,358
727,357
732,359
738,360
744,362
749,362
755,360
761,361
766,363
772,365
778,364
784,362
789,363
795,363
801,365
806,364
812,362
818,362
823,363
829,363
835,361
841,359
846,359
852,359
858,358
863,356
869,355
875,354
880,354
886,352
892,349
897,348
903,348
909,347
915,344
920,340
926,340
932,339
937,338
943,335
949,330
954,329
960,327
966,326
972,322
977,319
983,317
989,315
994,313
1000,308
1006,307
1012,304
1017,301
1023,297
1029,296
1035,294
1040,290
1046,286
1052,281
1057,280
1063,278
1069,275
1075,271
1080,266
1086,261
1092,262
1098,258
1103,255
1109,250
1115,245
1121,245
1126,242
1132,239
1138,235
1144,231
1149,227
1155,225
1161,222
1167,219
1172,215
1178,211
1184,210
1190,208
1195,205
1201,203
1207,200
1213,198
1218,196
1224,195
1230,193
1236,191
1241,189
1247,189
1253,187
1259,186
1264,185
1270,184
1276,185
1282,184
1287,184
1293,184
1299,184
1305,183
1310,185
1316,186
1322,186
1328,187
1333,188
1339,190
1345,191
1351,192
1356,194
1362,195
1368,197
1374,202
1379,204
1385,206
1391,208
1397,210
1402,216
1408,218
1414,220
1420,222
1425,225
1431,227
1437,234
1443,236
1448,238
1454,240
1460,243
1465,250
1471,254
1477,256
1483,258
1489,260
1494,263
1500,271
1506,272
1512,274
1517,276
1523,278
1529,285
1535,290
1540,292
1546,294
1552,295
1557,298
1563,306
1569,307
1575,309
1580,310
1586,311
1592,317
1598,321
1603,323
1609,324
1615,324
1621,328
1626,335
1632,336
1638,336
1644,336
1649,337
1655,342
1661,346
1667,346
1672,346
1678,345
1684,349
1690,354
1695,354
1701,354
1707,353
1713,354
1718,358
1724,360
1730,360
1736,359
1741,357
1747,360
1753,364
1759,363
1764,361
1770,359
1776,361
1782,364
1787,365
1793,363
1799,361
1805,359
1810,362
1816,365
1822,363
1828,361
1833,357
1839,357
1845,360
1851,360
1856,358
1862,354
1868,351
1874,353
1879,356
1885,353
1891,350
1897,346
1902,345
1908,347
1914,346
1920,343
1925,339
