Time,Bits_0
5,33
10,65
16,97
22,133
27,169
33,202
39,234
44,269
50,305
55,339
61,336
67,338
72,342
78,339
84,333
89,332
95,336
101,335
106,329
112,326
118,329
123,330
129,326
135,321
140,322
146,323
152,320
157,316
163,315
169,315
174,315
180,313
186,309
191,309
197,310
203,310
209,307
214,304
220,304
226,305
231,304
237,301
243,300
248,301
254,303
260,301
265,298
271,299
277,300
283,302
288,300
294,298
300,299
305,300
311,301
317,301
322,299
328,301
334,302
339,303
345,302
351,303
357,304
362,307
368,307
374,307
379,309
385,311
391,313
396,314
402,314
408,316
414,319
419,322
425,323
431,323
436,326
442,328
448,330
453,331
459,331
465,334
470,338
476,338
482,338
488,339
493,342
499,345
505,346
510,348
516,349
522,352
527,354
533,355
539,357
545,358
550,361
556,363
562,364
567,364
573,367
579,370
584,371
590,371
596,372
601,375
607,379
613,379
618,380
624,380
630,383
636,385
641,385
647,386
653,386
658,389
664,390
670,390
675,391
681,391
687,394
692,394
698,394
704,395
710,395
715,397
721,397
727,397
732,397
738,399
744,399
749,399
755,399
761,399
767,401
772,401
778,401
784,400
789,400
795,401
801,401
806,400
812,400
818,399
824,400
829,400
835,399
841,398
846,396
852,397
858,397
863,396
869,394
875,394
881,394
886,393
892,392
898,391
903,391
909,390
915,389
920,388
926,385
932,385
937,384
943,382
949,380
955,377
960,377
966,375
972,374
977,371
983,369
989,369
994,367
1000,366
1006,363
1012,362
1017,360
1023,359
1029,358
1035,357
1040,354
1046,350
1052,348
1058,348
1063,348
1069,346
1075,342
1081,338
1086,338
1092,338
1098,338
1104,335
1109,331
1115,329
1121,329
1127,329
1132,326
1138,322
1144,318
1149,318
1155,319
1161,318
1167,315
1172,311
1178,309
1184,310
1190,312
1195,310
1201,306
1207,303
1213,304
1218,306
1224,305
1230,302
1236,300
1241,299
1247,300
1253,302
1259,300
1264,298
1270,295
1276,298
1282,301
1287,300
1293,298
1299,296
1305,296
1310,299
1316,302
1322,301
1328,299
1333,297
1339,300
1345,304
1351,305
1356,304
1362,302
1368,303
1374,307
1379,311
1385,310
1391,309
1397,308
1402,312
1408,317
1414,319
1420,318
1425,317
1431,319
1437,323
1443,328
1448,328
1454,327
1460,327
1466,331
1471,335
1477,338
1483,337
1489,336
1494,339
1500,343
1506,348
1512,349
1517,348
1523,349
1529,352
1535,356
1540,359
1546,358
1552,357
1558,359
1563,362
1569,366
1575,367
1581,366
1586,368
1592,371
1598,373
1604,377
1609,376
1615,376
1621,378
1627,380
1632,383
1638,384
1644,382
1650,383
1655,385
1661,387
1667,390
1673,388
1678,389
1684,390
1690,392
1695,394
1701,394
1707,393
1713,394
1718,395
1724,396
1730,398
1736,396
1741,397
1747,398
1753,399
1759,400
1764,399
1770,398
1776,398
1782,399
1787,400
1793,401
1799,397
1805,398
1810,398
1816,399
1822,400
1828,398
1833,396
1839,396
1845,397
1851,397
1856,397
1862,393
1868,393
1874,393
1879,393
1885,393
1891,390
1897,388
1902,387
1908,387
1914,387
1920,387
1925,382
1931,381
1937,381
1943,380
1948,380
1954,376
1960,373
1966,373
1971,372
1977,372
1983,371
1989,366
1994,363
2000,363
2006,363
2012,364
2017,359
2023,355
2029,354
2035,354
2040,354
2046,352
2052,347
2058,344
2063,343
2069,343
2075,344
2081,340
2086,335
2092,334
2098,334
2104,334
2109,331
2115,327
2121,324
2127,323
2132,324
2138,322
2144,319
2150,315
2155,314
2161,314
2167,316
2173,313
2178,309
2184,307
2190,307
2196,309
2201,307
2207,304
2213,300
2218,300
2224,302
2230,302
2236,300
2241,297
2247,296
2253,298
2259,301
