Time,Voltage
0,0.00
100,5.00
200,0.00
301,0.00
401,0.00
501,0.00
603,0.00
703,0.00
803,0.00
904,4.99
1004,4.99
1105,5.00
1206,4.99
1306,5.00
1406,5.00
1508,5.00
1608,0.00
1709,0.00
1809,0.00
1909,0.00
2011,0.00
2111,0.00
2211,0.00
2312,5.00
2413,5.00
2513,4.99
2614,5.00
2714,5.00
2816,5.00
2916,0.00
3016,0.00
3117,0.00
3218,0.00
3318,1.72
3419,1.45
3519,1.22
3620,1.69
3721,2.16
3821,2.56
3921,2.90
4023,3.19
4123,3.45
4224,3.28
4324,2.75
4425,2.32
4526,1.96
4626,1.67
4726,1.41
4828,1.18
4928,1.79
5028,2.24
5129,2.63
5230,2.96
5330,3.25
5431,3.48
5531,3.17
5633,2.67
5733,2.25
5833,1.91
5935,1.61
6035,1.36
6135,1.35
6236,1.89
6337,2.33
6437,2.69
6538,3.01
6638,3.28
6739,3.53
6840,3.07
6940,2.58
7041,2.18
7142,1.84
7242,1.56
7343,1.32
7443,1.46
7544,1.96
7645,2.39
7745,2.76
7845,3.07
7947,3.34
8047,3.57
8147,2.98
8249,2.51
8349,2.13
8450,1.80
8550,1.52
8651,1.28
8752,1.56
8852,2.05
8952,2.46
9054,2.82
9154,3.11
9254,3.38
9355,3.43
9456,2.88
9556,2.43
9657,2.05
9757,1.74
9859,1.46
9959,1.25
10059,1.66
10161,2.16
10261,2.57
10361,2.92
10462,3.23
10563,3.49
10663,3.14
10764,2.62
10865,2.18
10966,1.83
11066,1.53
11167,1.28
11268,1.58
11368,2.09
11468,2.52
11570,2.88
11670,3.18
11770,3.46
11872,3.21
11972,2.67
12072,2.24
12174,1.88
12274,1.57
12375,1.31
12476,1.51
12576,2.04
12677,2.47
12777,2.84
12878,3.15
12979,3.42
13079,3.29
13180,2.75
13281,2.30
13381,1.92
13483,1.60
13583,1.35
13683,1.42
13784,1.96
13885,2.42
13985,2.79
14086,3.11
14187,3.39
14287,3.36
14388,2.80
14489,2.34
14589,1.96
14690,1.64
14790,1.38
14892,1.34
14992,1.91
15092,2.36
15194,2.75
15294,3.08
15394,3.36
15496,3.45
15596,2.87
15696,2.40
15798,2.01
15898,1.68
15998,1.42
16099,1.26
16200,1.83
16301,2.30
16401,2.70
16502,3.04
16603,3.32
16703,3.56
16804,2.95
16905,2.47
17005,2.07
17105,1.74
