Time,Voltage
0,3.05
100,1.95
200,1.65
301,1.78
401,2.25
502,2.63
603,2.96
703,3.25
803,2.65
905,2.23
1005,1.89
1105,1.58
1206,1.95
1307,2.40
1408,2.79
1508,3.12
1609,2.83
1710,2.36
1810,1.97
1910,1.64
2012,1.83
2112,2.31
2212,2.71
2314,3.05
2414,2.98
2514,2.48
2616,2.05
2716,1.73
2817,1.68
2917,2.19
3018,2.61
3119,2.97
3219,3.11
3320,2.58
3421,2.15
3521,1.80
3621,1.50
3723,2.08
3823,2.51
3923,2.88
4025,3.20
4125,2.70
4226,2.26
4326,1.89
4427,1.57
4528,1.95
4628,2.41
4729,2.81
4830,3.13
4930,2.83
5030,2.35
5132,1.96
5232,1.65
5332,1.84
5434,2.32
5534,2.71
5635,3.05
5735,2.94
5836,2.45
5937,2.05
6037,1.72
6138,1.72
6239,2.21
6339,2.63
6439,2.98
6541,3.10
6641,2.57
6742,2.15
6843,1.79
6943,1.48
7044,2.10
7144,2.53
7245,2.89
7346,3.22
7446,2.68
7547,2.24
7648,1.87
7748,1.56
7849,1.98
7950,2.43
8050,2.81
8151,3.14
8252,2.80
8352,2.34
8453,1.95
8554,1.62
8654,1.87
8755,2.33
8855,2.73
8956,3.08
9057,2.94
9157,2.44
9259,2.04
9359,1.70
9459,1.72
9560,2.23
9661,2.64
9761,2.98
9862,3.09
9963,2.56
10063,2.14
10164,1.77
10265,1.63
10365,2.19
10466,2.63
10567,3.02
10668,3.02
10768,2.47
10869,2.04
10970,1.68
11070,1.80
11171,2.31
11272,2.72
11372,3.09
11473,2.86
11574,2.35
11674,1.94
11776,1.61
11876,1.95
11976,2.43
12078,2.84
12178,3.18
12278,2.70
12380,2.22
12480,1.84
12580,1.52
12682,2.09
12782,2.55
12882,2.93
12984,3.14
13084,2.56
13185,2.12
13286,1.74
13386,1.68
13487,2.22
13588,2.66
13688,3.03
13789,2.98
13890,2.44
13990,2.01
14091,1.66
14192,1.82
14292,2.33
14393,2.76
14494,3.11
14595,2.83
14695,2.33
14796,1.93
