Time,Voltage
100,2.06
200,2.42
301,2.51
401,2.17
502,2.33
603,2.63
703,2.28
803,2.20
905,2.54
1005,2.40
1105,2.05
1206,2.47
1307,2.44
1408,2.09
1508,2.44
1609,2.47
1710,2.12
1810,2.42
1911,2.50
2012,2.15
2112,2.39
2212,2.53
2314,2.16
2414,2.37
2514,2.56
2616,2.18
2716,2.34
2817,2.67
2917,2.22
3018,2.30
3119,2.64
3219,2.25
3320,2.27
3421,2.62
3521,2.28
3621,2.24
3723,2.60
3823,2.31
3923,2.21
4025,2.58
4125,2.32
4226,2.17
4326,2.54
4427,2.36
4528,2.13
4628,2.52
4729,2.39
4830,2.05
4930,2.49
5031,2.42
5132,2.08
5232,2.45
5332,2.45
5434,2.11
5534,2.42
5635,2.49
5736,2.13
5836,2.41
5937,2.51
6037,2.15
6138,2.38
6239,2.55
6339,2.18
6440,2.36
6541,2.58
6641,2.20
6742,2.32
6843,2.65
6943,2.22
7044,2.29
7145,2.63
7245,2.26
7346,2.26
7446,2.61
7547,2.28
7648,2.23
7748,2.58
7849,2.31
7950,2.20
8050,2.57
8152,2.32
8252,2.18
8352,2.54
8453,2.35
8554,2.14
8654,2.52
8755,2.39
8856,2.05
8956,2.48
9057,2.41
9157,2.08
9259,2.45
9359,2.45
9459,2.10
9561,2.42
9661,2.47
9761,2.13
9862,2.40
9963,2.52
10063,2.16
10164,2.41
10265,2.48
10365,2.11
10466,2.47
10567,2.41
10668,2.04
10768,2.51
10869,2.35
10970,2.17
11070,2.58
11171,2.30
11272,2.24
11372,2.63
11473,2.24
11574,2.32
11675,2.60
11776,2.19
11876,2.36
11977,2.53
12078,2.13
12178,2.43
12279,2.44
12380,2.08
12480,2.48
12581,2.39
12682,2.13
12782,2.55
12883,2.33
12984,2.21
13084,2.60
13186,2.27
13286,2.28
13386,2.65
13488,2.21
13588,2.34
13688,2.56
13790,2.16
13890,2.40
13990,2.48
14092,2.10
14192,2.46
14292,2.42
14394,2.05
14494,2.50
14595,2.36
14696,2.17
14796,2.57
14897,2.30
14998,2.23
15098,2.61
15199,2.25
15300,2.31
15400,2.66
15502,2.20
15602,2.36
15703,2.53
15804,2.14
15904,2.43
16005,2.46
16106,2.08
16206,2.47
16307,2.39
16408,2.13
16508,2.54
16609,2.33
16710,2.21
16811,2.60
16911,2.27
17012,2.27
17113,2.64
17213,2.22
17314,2.33
17415,2.58
17515,2.17
17616,2.40
17717,2.48
17817,2.11
17918,2.45
18019,2.43
18119,2.06
18221,2.51
18321,2.37
18421,2.17
18523,2.56
18623,2.31
18723,2.24
18825,2.61
18925,2.24
19026,2.31
19127,2.67
19227,2.19
19329,2.36
19429,2.53
19529,2.14
19631,2.43
19731,2.45
19831,2.09
19933,2.49
20033,2.40
20133,2.13
20235,2.55
20335,2.33
20435,2.22
20537,2.61
20637,2.27
20738,2.29
20839,2.66
20939,2.21
21040,2.36
21141,2.54
21241,2.15
21342,2.41
21443,2.46
21543,2.10
21644,2.47
21745,2.39
21846,2.04
21946,2.52
22047,2.35
22148,2.18
22248,2.58
22349,2.30
22450,2.26
22551,2.63
22651,2.23
22752,2.33
22853,2.58
22953,2.17
23054,2.39
23155,2.50
23256,2.12
23356,2.46
