Time,Voltage
0,2.32
100,2.34
200,2.40
301,2.47
402,2.33
502,2.26
603,2.36
703,2.42
803,2.38
905,2.32
1005,2.25
1105,2.41
1207,2.38
1307,2.27
1408,2.39
1508,2.37
1609,2.28
1710,2.38
1810,2.46
1911,2.30
2012,2.37
2112,2.46
2213,2.31
2314,2.36
2414,2.45
2514,2.32
2616,2.33
2716,2.43
2817,2.33
2918,2.32
3018,2.43
3119,2.35
3220,2.25
3320,2.41
3421,2.36
3522,2.26
3622,2.41
3723,2.37
3823,2.26
3924,2.39
4025,2.39
4125,2.29
4227,2.38
4327,2.47
4427,2.30
4529,2.37
4629,2.45
4729,2.32
4830,2.36
4931,2.44
5031,2.33
5132,2.35
5233,2.44
5334,2.34
5434,2.33
5535,2.43
5636,2.34
5736,2.25
5836,2.42
5938,2.35
6038,2.25
6138,2.41
6240,2.36
6340,2.27
6440,2.40
6542,2.38
6642,2.28
6743,2.38
6843,2.40
6944,2.29
7045,2.37
7145,2.46
7246,2.31
7347,2.37
7447,2.46
7548,2.32
7649,2.35
7749,2.44
7849,2.33
7951,2.34
8051,2.43
8152,2.34
8253,2.33
8353,2.42
8454,2.35
8555,2.26
8655,2.42
8756,2.36
8856,2.25
8957,2.40
9058,2.38
9158,2.27
9260,2.39
9360,2.39
9460,2.29
9562,2.38
9662,2.47
9762,2.31
9863,2.37
9964,2.46
10064,2.32
10165,2.39
10266,2.36
10366,2.34
10467,2.46
10568,2.27
10669,2.42
10770,2.32
10870,2.38
10971,2.37
11072,2.35
11172,2.46
11273,2.28
11374,2.43
11474,2.32
11575,2.39
11676,2.36
11777,2.34
11877,2.40
11978,2.27
12079,2.41
12179,2.33
12280,2.38
12381,2.36
12482,2.34
12582,2.46
12683,2.28
12784,2.43
12884,2.31
12985,2.39
13086,2.36
13187,2.35
13287,2.40
13388,2.27
13489,2.42
13589,2.31
13690,2.38
13791,2.37
13891,2.33
13992,2.46
14093,2.30
14194,2.40
14295,2.34
14395,2.37
14496,2.38
14597,2.25
14697,2.44
14798,2.30
14899,2.40
14999,2.35
15100,2.36
