Time,Voltage
100,2.16
200,3.56
301,3.89
401,3.25
502,2.24
603,0.61
703,1.05
803,1.77
905,2.93
1005,4.08
1105,3.55
1206,2.73
1307,1.49
1408,0.83
1508,1.37
1609,2.25
1710,3.66
1810,3.87
1910,3.24
2012,2.26
2112,0.77
2212,1.03
2314,1.71
2414,2.79
2514,4.12
2615,3.64
2716,2.87
2817,1.70
2917,0.78
3018,1.28
3119,2.11
3219,3.42
3319,3.95
3421,3.35
3521,2.42
3621,1.02
3723,0.96
3823,1.58
3923,2.61
4024,4.18
4125,3.71
4226,2.99
4326,1.90
4427,0.72
4528,1.19
4628,1.96
4728,3.20
4830,4.00
4930,3.45
5030,2.57
5132,1.26
5232,0.90
5332,1.48
5433,2.43
5534,3.93
5635,3.78
5735,3.11
5836,2.07
5937,0.67
6037,1.11
6137,1.83
6239,3.00
6339,4.06
6439,3.54
6541,2.73
6641,1.47
6742,0.84
6843,1.37
6943,2.27
7044,3.67
7144,3.87
7245,3.23
7346,2.26
7446,0.76
7547,1.04
7648,1.72
7748,2.79
7848,4.13
7950,3.63
8050,2.87
8151,1.70
8252,0.77
8352,1.28
8453,2.12
8553,3.43
8654,3.94
8755,3.33
8855,2.41
8956,1.01
9057,0.96
9157,1.59
9257,2.61
9359,4.18
9459,3.71
9560,3.00
9661,1.89
9761,0.72
9862,1.20
9962,1.96
10063,3.20
10164,4.01
10264,3.48
10365,2.64
10466,1.40
10566,0.85
10668,1.38
10768,2.25
10868,3.61
10970,3.90
11070,3.30
11170,2.39
11272,1.00
11372,0.96
11472,1.57
11574,2.55
11674,4.06
11774,3.76
11876,3.09
11976,2.06
12077,0.67
12178,1.10
12278,1.78

