Time,Voltage
100,2.16
200,3.56
301,3.89
401,3.25
502,2.24
603,0.61
703,1.07
803,1.77
905,2.92
1005,4.09
1105,3.55
1206,2.73
1307,1.50
1408,0.83
1508,1.36
1609,2.24
1710,3.66
1810,3.87
1910,3.25
2012,2.26
2112,0.76
2212,1.02
2314,1.71
2414,2.79
2514,4.13
2615,3.64
2716,2.86
2817,1.69
2917,0.78
3018,1.29
3119,2.10
3219,3.43
3319,3.95
3421,3.34
3521,2.41
3621,1.01
3723,0.96
3823,1.59
3923,2.62
4024,4.18
4125,3.71
4226,2.99
4326,1.88
4427,0.72
4528,1.20
4628,1.98
4728,3.23
4830,4.01
4930,3.44
5030,2.57
5132,1.24
5232,0.89
5332,1.48
5433,2.44
5534,3.95
5635,3.79
5735,3.11
5836,2.05
5937,0.68
6037,1.12
6137,1.85
6239,3.02
6339,4.06
6439,3.52
6541,2.70
6641,1.44
6742,0.85
6842,1.38
6943,2.29
7044,3.72
7144,3.86
7245,3.22
7346,2.22
7446,0.69
7546,1.05
7648,1.74
7748,2.83
7848,4.10
7950,3.61
8050,2.83
8151,1.63
8251,0.79
8352,1.31
8453,2.15
8553,3.50
8654,3.92
8755,3.31
8855,2.38
8955,0.94
9057,0.99
9157,1.63
9257,2.67
9359,4.16
9459,3.69
9560,2.96
9660,1.82
9761,0.73
9862,1.23
9962,2.01
10063,3.28
10164,3.99
10264,3.45
10365,2.60
10466,1.32
10566,0.86
10668,1.41
10768,2.30
10868,3.68
10970,3.88
11070,3.27
11170,2.34
11272,0.93
11372,0.97
11472,1.59
11574,2.58
11674,4.19
11774,3.75
11876,3.07
11976,2.03
12077,0.67
12178,1.11
12278,1.81
12379,2.91
12480,4.09
12580,3.61
12681,2.85
12782,1.69
12882,0.76
12983,1.25
13084,2.04
13185,3.29
13285,3.99
13386,3.44
13487,2.60
13587,1.31
13688,0.86
13789,1.42
13889,2.30
13990,3.69
14091,3.89
14191,3.26
14292,2.31
14393,0.89
14493,0.99
14595,1.60
14695,2.62
14795,4.18
14897,3.74
14997,3.05
