Time,Voltage
100,2.16
200,3.56
301,3.89
401,3.25
502,2.24
603,0.61
703,1.05
803,1.77
905,2.93
1005,4.08
1105,3.55
1206,2.73
1307,1.49
1408,0.83
1508,1.37
1609,2.25
1710,3.66
1810,3.87
1910,3.24
2012,2.26
2112,0.77
2212,1.03
2314,1.71
2414,2.79
2514,4.12
2615,3.64
2716,2.87
2817,1.70
2917,0.78
3018,1.28
3119,2.11
3219,3.42
3319,3.95
3421,3.35
3521,2.42
3621,1.02
3723,0.96
3823,1.58
3923,2.61
4024,4.18
4125,3.71
4226,2.99
4326,1.90
4427,0.72
4528,1.19
4628,1.96
4728,3.20
4830,4.00
4930,3.45
5030,2.57
5132,1.26
5232,0.90
5332,1.48
5433,2.43
5534,3.93
5635,3.78
5735,3.11
5836,2.07
5937,0.67
6037,1.11
6137,1.83
6239,3.00
6339,4.06
6439,3.54
6541,2.73
6641,1.47
6742,0.84
6843,1.37
6943,2.27
7044,3.67
7144,3.87
7245,3.23
7346,2.26
7446,0.76
7547,1.04
7648,1.72
7748,2.79
7848,4.13
7950,3.63
8050,2.87
8151,1.70
8252,0.77
8352,1.28
8453,2.12
8553,3.43
8654,3.94
8755,3.33
8855,2.41
8956,1.01
9057,0.96
9157,1.59
9257,2.61
9359,4.18
9459,3.71
9560,3.00
9661,1.89
9761,0.72
9862,1.20
9962,1.96
10063,3.20
10164,4.01
10264,3.48
10365,2.64
10466,1.40
10566,0.85
10668,1.38
10768,2.25
10868,3.61
10970,3.90
11070,3.30
11170,2.39
11272,1.00
11372,0.96
11472,1.57
11574,2.55
11674,4.06
11774,3.76
11876,3.09
11976,2.06
12077,0.67
12178,1.10
12278,1.78
0,2.33
100,2.38
200,3.75
301,2.01
401,0.87
502,3.03
603,3.36
703,1.46
803,1.89
905,3.53
1005,2.44
1105,1.04
1206,2.72
1307,3.93
1408,1.69
1508,1.51
1609,3.36
1710,2.73
1810,1.16
1910,2.48
2012,3.84
2112,1.89
2212,1.13
2314,3.20
2414,3.04
2514,1.30
2615,2.22
2716,3.71
2817,2.10
2917,0.89
3018,3.01
3119,3.38
3219,1.45
3319,1.94
3421,3.58
3521,2.35
3621,1.00
3723,2.79
3823,3.77
3923,1.62
4024,1.63
4125,3.42
4226,2.63
4326,1.11
4427,2.56
4528,3.86
4628,1.80
4729,1.29
4830,3.26
4930,2.92
5030,1.25
5132,2.32
5232,3.75
5332,2.01
5434,0.84
5534,3.08
5635,3.25
5735,1.39
5836,2.05
5937,3.62
6037,2.25
6138,0.96
6239,2.87
6339,3.62
6439,1.55
6541,1.75
6641,3.48
6742,2.52
6843,1.07
6943,2.66
7044,3.91
7144,1.74
7245,1.43
7346,3.33
7446,2.79
7547,1.19
7648,2.42
7748,3.80
7848,1.93
7950,1.04
8050,3.15
8151,3.11
8252,1.32
8352,2.15
8453,3.67
8553,2.16
8654,0.91
8755,2.94
8855,3.47
8956,1.49
9057,1.86
9157,3.54
9257,2.43
9359,1.02
9459,2.73
9560,3.94
9661,1.67
9761,1.52
9862,3.38
9962,2.69
10063,1.15
10164,2.53
10264,3.87
10365,1.80
10466,1.33
10566,3.30
10668,2.80
10768,1.18
10868,2.47
10970,3.83
11070,1.86
11170,1.25
11272,3.25
11372,2.88
11472,1.21
11574,2.40
11674,3.80
11774,1.91
11876,1.15
11976,3.21
12078,2.96
12178,1.25
12278,2.34
12380,3.77
12480,1.96
12580,1.05
12682,3.17
12782,3.04
12882,1.29
12984,2.27
13084,3.73
13185,2.02
13286,0.92
13386,3.11
13487,3.14
13588,1.32
13688,2.19
13789,3.71
13890,2.08
13990,0.87
14091,3.07
14192,3.22
14292,1.37
14393,2.13
14494,3.68
14595,2.13
14695,0.89
14796,3.03
14897,3.32
14997,1.40
15098,2.06
15199,3.64
15299,2.19
15400,0.91
15501,2.97
15601,3.39
15703,1.44
15803,1.99
15903,3.61
16005,2.25
16105,0.94
0,3.05
100,1.95
200,1.65
301,1.78
401,2.25
502,2.63
603,2.96
703,3.25
803,2.65
905,2.23
1005,1.89
1105,1.58
1206,1.95
1307,2.40
1408,2.79
1508,3.12
1609,2.83
1710,2.36
1810,1.97
1910,1.64
2012,1.83
2112,2.31
2212,2.71
2314,3.05
2414,2.98
2514,2.48
2616,2.05
2716,1.73
2817,1.68
2917,2.19
3018,2.61
3119,2.97
3219,3.11
3320,2.58
3421,2.15
3521,1.80
3621,1.50
3723,2.08
