Time,Voltage
1420,1.16
2136,1.22
2852,1.72
3584,2.15
4304,2.52
9792,2.16
21232,1.72
33712,2.10
46196,2.52
58676,3.07
71152,2.98
83632,2.61
96112,2.18
108604,1.65
122112,1.79
135632,1.93
149152,2.06
162672,2.18
176200,2.29
189712,2.40
203232,2.51
216752,2.61
230272,2.71
243800,2.80
257312,2.89
270832,2.97
284352,3.05
297872,3.13
311396,3.21
324920,3.08
338432,2.93
351952,2.79
365472,2.66
378996,2.53
392512,2.42
406032,2.31
419552,2.20
433072,2.11
446592,2.00
460112,1.92
473632,1.83
487152,1.74
500672,1.66
514192,1.60
527712,1.52
541236,1.65
554752,1.80
568272,1.94
581792,2.06
595312,2.18
608832,2.29
622352,2.41
635872,2.51
649392,2.61
662912,2.72
676432,2.81
689952,2.89
703472,2.98
716992,3.06
730512,3.14
744032,3.21
757556,3.08
771080,2.92
784592,2.79
798112,2.66
811632,2.53
825152,2.43
838680,2.30
852192,2.20
865712,2.11
879232,2.00
892752,1.92
906276,1.83
919792,1.74
933312,1.67
946832,1.59
960352,1.52
973884,1.65
987392,1.80
1000912,1.94
1015472,2.61
1030032,3.14
1044596,2.54
1059152,1.93
1073716,1.65
1088272,2.40
1102832,2.98
1117392,2.79
1131952,2.11
1146512,1.59
1161072,2.19
1175636,2.80
1190196,3.07
1204752,2.31
1219312,1.74
1233872,1.94
1248432,2.61
1262992,3.15
1277552,2.53
1292112,1.92
1306684,1.66
1321232,2.40
1335792,2.97
1350352,2.79
1364912,2.11
1379472,1.59
1394032,2.18
1408592,2.80
1423160,3.08
1437720,2.30
1452272,1.75
1466832,1.93
1481392,2.61
1495952,3.14
1510516,2.53
1525072,1.93
1539636,1.65
1554192,2.41
1568752,2.98
1583312,2.79
1597872,2.11
1612432,1.58
1626992,2.18
1641560,2.81
1656116,3.08
1670672,2.31
1685232,1.75
1699792,1.94
1714352,2.61
1728912,3.14
1743472,2.54
1758032,1.92
1772604,1.66
1787152,2.40
1801712,2.98
1816272,2.79
1830832,2.11
1845392,1.59
1859952,2.18
1874512,2.80
1889080,3.07
1903640,2.31
1918192,1.75
1932752,1.93
1947312,2.61
1961872,3.14
1976436,2.54
1990992,1.92
2005556,1.65
2020112,2.41
2034672,2.98
2049232,2.79
2063792,2.11
2078352,1.59
2092912,2.18
2107480,2.81
2122036,3.08
2136592,2.31
2151152,1.75
2165712,1.94
2180272,2.61
2194832,3.15
2209392,2.53
2223952,1.92
2238524,1.66
2253072,2.40
2267632,2.98
2282192,2.79
2296752,2.11
2311312,1.59
2325872,2.18
2340432,2.80
2354996,3.07
2369556,2.31
2384112,1.75
2398672,1.94
2413232,2.61
2427792,3.14
2442356,2.54
2456912,1.92
2471476,1.65
2486032,2.40
2500592,2.98
2515152,2.79
2529712,2.11
2544272,1.59
2558832,2.18
2573400,2.81
2587956,3.08
2602512,2.31
2617072,1.74
2631632,1.94
2646192,2.61
2660752,3.14
2675312,2.54
2689872,1.92
2704444,1.66
2718992,2.40
2733552,2.99
2748112,2.78
2762672,2.11
2777232,1.60
2791792,2.18
2806352,2.80
2820916,3.07
2835480,2.31
2850032,1.75
2864592,1.94
2879152,2.61
2893712,3.14
2908276,2.53
2922832,1.92
2937396,1.64
2951952,2.41
2966512,2.98
2981072,2.80
2995632,2.11
3010192,1.59
3024752,2.19
3039316,2.80
3053880,3.08
3068432,2.31
3082992,1.74
3097552,1.94
3112112,2.61
3126672,3.14
3141232,2.53
3155792,1.93
3170364,1.66
3184912,2.41
3199472,2.98
3214032,2.78
3228592,2.11
3243152,1.60
3257712,2.18
3272272,2.80
3286836,3.08
3301400,2.31
3315952,1.74
3330512,1.93
3345072,2.61
3359632,3.13
3374196,2.53
3388752,1.93
3403316,1.65
3417872,2.40
3432432,2.98
3446992,2.80
3461552,2.11
3476112,1.60
3490672,2.19
3505240,2.80
3519796,3.08
3534352,2.31
3548912,1.74
3563472,1.94
3578032,2.61
3592592,3.15
3607152,2.53
3621712,1.92
3636284,1.66
3650832,2.40
3665392,2.98
3679952,2.79
3694512,2.11
3709072,1.59
3723632,2.19
3738192,2.80
3752760,3.08
3767320,2.32
3781872,1.75
3796432,1.94
3810992,2.61
3825552,3.14
3840116,2.54
3854672,1.92
3869236,1.65
3883792,2.40
3898352,2.98
3912912,2.80
3927472,2.12
3942032,1.58
3956592,2.18
3971156,2.80
3985720,3.09
4000272,2.31
4014832,1.74
4029392,1.94
4043952,2.62
4058512,3.13
4073072,2.54
4087632,1.93
4102204,1.66
4116752,2.41
4131312,2.98
4145872,2.79
4160432,2.11
4174992,1.59
4189552,2.19
4204112,2.80
4218676,3.07
4233240,2.32
4247792,1.74
4262352,1.93
4276912,2.61
4291472,3.14
4306036,2.53
4320592,1.93
4335156,1.65
4349712,2.41
4364272,2.97
4378832,2.79
4393392,2.11
4407952,1.59
4422512,2.18
4437080,2.80
4451636,3.08
4466192,2.32
4480752,1.75
4495312,1.94
4509872,2.62
