Time,Voltage
20,0.87
10644,3.47
21352,1.01
32048,3.90
42748,0.77
53440,4.15
64140,0.58
74844,3.96
85548,1.38
96264,2.94
106960,2.23
117716,2.16
128472,2.93
139228,1.56
149980,3.44
160740,1.12
171492,3.83
182252,0.82
193000,4.13
203756,0.60
214508,4.05
225260,1.34
236016,2.95
246772,2.24
257528,2.16
268284,2.94
279036,1.56
289788,3.46
300544,1.13
311308,3.84
322064,0.81
332816,4.13
343564,0.59
354324,4.03
365072,1.35
375828,2.93
386584,2.27
397340,2.13
408100,2.95
418852,1.54
429600,3.47
440360,1.12
451108,3.86
461872,0.81
472616,4.13
483376,0.59
494124,3.99
504884,1.38
515636,2.92
526396,2.28
537148,2.12
547912,2.96
558664,1.53
569424,3.47
580176,1.11
590932,3.86
601688,0.80
612436,4.14
623192,0.59
633948,3.96
644708,1.41
655464,2.89
666216,2.31
676976,2.09
687720,2.98
698476,1.52
709232,3.49
719988,1.10
730740,3.87
741492,0.79
752240,4.14
762996,0.58
773740,3.94
784500,1.43
795256,2.88
806012,2.31
816772,2.08
827528,2.99
838276,1.51
849040,3.50
859792,1.09
870540,3.87
881296,0.80
892048,4.16
902800,0.57
913556,3.91
924316,1.46
935080,2.85
945832,2.34
956588,2.07
967336,3.00
978084,1.50
988840,3.50
999596,1.09
1010344,3.88
1021152,0.78
1031948,4.17
1042752,0.56
1053560,3.74
1064368,1.63
1075176,2.66
1085980,2.51
1096788,1.90
1107596,3.18
1118408,1.33
1129212,3.67
1140024,0.95
1150824,4.02
1161628,0.67
1172436,4.27
1183248,1.00
1194048,3.25
1204852,2.05
1215660,2.30
1226468,2.83
1237284,1.63
1248096,3.40
1258904,1.15
1269712,3.83
1280516,0.82
1291324,4.15
1302124,0.58
1312940,3.90
1323736,1.49
1334548,2.79
1345356,2.42
1356160,1.99
1366968,3.10
1377772,1.40
1388584,3.61
1399388,1.00
1410200,3.97
1421004,0.70
1431808,4.24
1442624,0.84
1453424,3.37
1464240,1.94
1475044,2.39
1485856,2.74
1496664,1.71
1507476,3.34
1518284,1.20
1529096,3.80
1539904,0.85
1550704,4.10
1561516,0.60
1572324,4.07
1583132,1.37
1593944,2.90
1604752,2.33
1615556,2.06
1626364,3.04
1637160,1.46
1647972,3.55
1658784,1.03
1669576,3.93
1680392,0.73
1691188,4.22
1702000,0.67
1712800,3.53
1723608,1.81
1734412,2.52
1745228,2.65
1756032,1.78
1766840,3.27
1777648,1.26
1788452,3.72
1799268,0.89
1810068,4.06
1820876,0.64
1831676,4.31
1842492,1.22
1853304,3.04
1864108,2.22
1874920,2.17
1885724,2.95
1896528,1.53
1907332,3.49
1918144,1.09
1928940,3.90
1939756,0.77
1950556,4.18
1961368,0.54
1972176,3.68
1982976,1.69
1993784,2.63
2004592,2.56
2015404,1.86
2026212,3.21
2037028,1.31
2047844,3.69
2058660,0.93
2069468,4.04
2080268,0.65
2091072,4.29
2101880,1.08
2112684,3.16
2123484,2.11
2134304,2.25
2145112,2.87
2155924,1.60
2166736,3.44
2177544,1.12
2188352,3.85
2199160,0.80
2209964,4.15
2220772,0.57
2231588,3.81
2242396,1.58
2253208,2.71
2264024,2.49
2274828,1.93
2285644,3.15
2296452,1.35
2307264,3.64
2318068,0.96
2328876,4.00
2339688,0.67
2350492,4.26
2361316,0.97
2372108,3.27
2382924,2.02
2393724,2.33
2404540,2.82
2415348,1.64
2426164,3.40
2436976,1.17
2447784,3.82
2458596,0.82
2469396,4.13
2480208,0.59
2491012,3.93
2501820,1.47
2512628,2.81
2523444,2.41
2534264,1.98
2545076,3.10
2555892,1.40
2566700,3.61
2577516,0.99
2588320,3.98
2599128,0.70
2609924,4.24
2620744,0.84
2631552,3.37
2642364,1.94
2653176,2.40
2663980,2.76
2674796,1.70
2685596,3.35
2696408,1.20
2707208,3.79
2718016,0.85
2728820,4.11
2739636,0.61
2750448,4.05
2761244,1.37
2772060,2.89
2782864,2.33
2793676,2.05
2804476,3.03
2815284,1.46
2826100,3.56
2836916,1.03
2847720,3.94
2858524,0.74
2869336,4.22
2880148,0.70
2890956,3.49
2901756,1.83
2912572,2.48
2923384,2.67
2934196,1.77
2945012,3.30
2955820,1.24
2966636,3.75
2977436,0.87
2988244,4.08
2999048,0.63
3009852,4.21
3020672,1.27
3031484,3.00
3042296,2.25
3053100,2.13
3063916,2.98
3074724,1.51
3085528,3.51
3096332,1.07
3107140,3.91
3117948,0.75
3128756,4.20
3139568,0.53
3150364,3.62
3161184,1.74
3171992,2.58
3182800,2.60
3193604,1.82
3204420,3.25
3215236,1.29
3226052,3.71
3236860,0.91
