Time,Voltage
2,1.10
3,0.93
4,1.67
5,2.25
6,2.74
7,3.14
8,3.48
9,3.75
10,3.98
11,4.15
12,3.58
13,2.89
14,2.33
15,1.87
16,1.50
17,1.21
18,0.97
19,0.77
20,1.03
21,1.72
22,2.29
23,2.77
24,3.17
25,3.50
26,3.76
27,3.99
28,4.07
29,3.27
30,2.64
31,2.13
32,1.71
33,1.37
34,1.10
35,0.88
36,0.70
37,1.29
38,1.93
39,2.46
40,2.91
41,3.29
42,3.60
43,3.85
44,4.06
45,3.75
46,3.04
47,2.45
48,1.96
49,1.57
50,1.27
51,1.01
52,0.82
53,0.79
54,1.53
55,2.14
56,2.63
57,3.06
58,3.41
59,3.69
60,3.92
61,4.12
62,3.47
63,2.81
64,2.26
65,1.81
66,1.46
67,1.17
68,0.93
69,0.75
70,1.07
71,1.75
72,2.32
73,2.80
74,3.19
75,3.52
76,3.78
77,4.00
78,3.97
79,3.22
80,2.60
81,2.09
82,1.68
83,1.34
84,1.08
85,0.86
86,0.70
87,1.33
88,1.98
89,2.50
90,2.95
91,3.32
92,3.62
93,3.87
94,4.07
95,3.69
96,2.99
97,2.40
98,1.93
99,1.55
100,1.24
101,0.99
102,0.79
103,0.86
104,1.58
105,2.18
106,2.67
107,3.09
108,3.43
109,3.71
110,3.95
111,4.13
112,3.42
113,2.77
114,2.23
115,1.78
116,1.44
117,1.14
118,0.92
119,0.74
120,1.14
121,1.80
122,2.37
123,2.83
124,3.22
125,3.54
126,3.80
127,4.01
128,3.91
129,3.17
130,2.56
131,2.06
132,1.66
133,1.32
134,1.06
135,0.86
136,0.67
137,1.40
138,2.01
139,2.55
140,2.99
141,3.34
142,3.64
143,3.88
144,4.08
145,3.62
146,2.94
147,2.38
148,1.90
149,1.52
150,1.23
151,0.98
152,0.79
153,0.93
154,1.64
155,2.22
156,2.72
157,3.13
158,3.46
159,3.73
160,3.95
161,4.14
162,3.36
163,2.72
164,2.19
165,1.76
166,1.41
167,1.13
168,0.90
169,0.72
170,1.20
171,1.86
172,2.41
173,2.87
174,3.25
175,3.56
176,3.82
177,4.03
178,3.85
179,3.12
180,2.51
181,2.03
182,1.62
183,1.30
184,1.04
185,0.84
186,0.65
187,1.45
188,2.07
189,2.60
190,3.01
191,3.37
192,3.66
193,3.90
194,4.09
195,3.57
196,2.89
197,2.33
198,1.88
199,1.50
200,1.21
201,0.95
202,0.77
203,0.98
204,1.69
205,2.26
206,2.75
207,3.15
208,3.49
209,3.75
210,3.97
211,4.10
212,3.30
213,2.68
214,2.15
215,1.73
216,1.38
217,1.11
218,0.89
219,0.71
220,1.25
221,1.91
222,2.45
223,2.90
224,3.27
225,3.58
226,3.84
227,4.04
228,3.78
229,3.07
230,2.48
231,1.98
232,1.59
233,1.28
234,1.02
235,0.82
236,0.76
237,1.51
238,2.12
239,2.61
240,3.05
241,3.39
242,3.68
243,3.92
244,4.11
245,3.50
246,2.84
247,2.29
248,1.84
249,1.47
250,1.18
251,0.95
252,0.76
253,1.05
254,1.74
255,2.30
256,2.78
257,3.18
258,3.50
259,3.77
260,3.98
261,4.01
262,3.26
263,2.63
264,2.12
265,1.69
266,1.36
267,1.09
268,0.87
269,0.70
270,1.30
271,1.96
272,2.49
273,2.93
274,3.29
275,3.60
276,3.86
277,4.06
278,3.72
279,3.01
280,2.43
281,1.96
282,1.56
283,1.26
284,1.01
285,0.81
286,0.83
287,1.56
288,2.16
289,2.66
290,3.06
291,3.42
292,3.70
293,3.94
294,4.13
295,3.45
296,2.80
297,2.26
298,1.81
299,1.44
300,1.17
301,0.92
302,0.74
303,1.10
304,1.78
305,2.34
306,2.81
307,3.21
308,3.52
309,3.79
310,4.01
311,3.95
312,3.20
313,2.59
314,2.07
315,1.67
316,1.34
317,1.07
318,0.86
319,0.69
320,1.36
321,1.99
322,2.53
323,2.96
324,3.32
325,3.63
326,3.88
327,4.09
328,3.66
329,2.96
330,2.39
331,1.93
332,1.53
333,1.24
334,0.99
335,0.78
336,0.90
337,1.60
338,2.20
339,2.69
340,3.10
341,3.45
342,3.72
343,3.95
344,4.14
345,3.39
346,2.74
347,2.21
348,1.77
349,1.42
350,1.13
351,0.91
352,0.73
353,1.16
354,1.84
355,2.39
356,2.84
357,3.23
358,3.55
359,3.81
360,4.03
361,3.88
362,3.15
363,2.54
364,2.04
365,1.63
366,1.30
367,1.05
368,0.84
369,0.67
370,1.43
371,2.04
372,2.57
373,3.00
374,3.36
375,3.65
376,3.90
377,4.09
378,3.60
379,2.92
380,2.35
381,1.89
382,1.52
383,1.21
384,0.97
385,0.78
386,0.96
387,1.66
388,2.23
389,2.73
390,3.13
391,3.47
392,3.74
393,3.97
394,4.16
395,3.33
396,2.70
397,2.17
398,1.74
399,1.39
400,1.11
401,0.90
402,0.72
403,1.22
404,1.89
405,2.42
406,2.88
407,3.26
408,3.58
409,3.83
410,4.04
411,3.82
412,3.09
413,2.49
414,2.00
415,1.60
416,1.29
417,1.04
418,0.83
419,0.72
420,1.48
421,2.09
422,2.61
423,3.03
424,3.38
425,3.67
426,3.91
427,4.11
428,3.53
429,2.87
430,2.31
431,1.86
432,1.49
433,1.20
434,0.95
435,0.76
436,1.02
437,1.71
438,2.29
439,2.76
440,3.16
441,3.49
442,3.77
443,3.99
444,4.04
445,3.27
446,2.65
447,2.13
448,1.71
449,1.37
450,1.10
451,0.88
452,0.71
453,1.29
454,1.93
455,2.47
456,2.92
457,3.28
458,3.60
459,3.85
460,4.05
461,3.75
462,3.04
463,2.45
464,1.97
465,1.58
466,1.27
467,1.02
468,0.81
469,0.79
470,1.52
471,2.13
472,2.64
473,3.06
474,3.41
475,3.70
476,3.93
477,4.12
478,3.48
479,2.81
480,2.26
481,1.82
482,1.46
483,1.17
484,0.94
485,0.75
486,1.09
487,1.75
488,2.33
489,2.80
490,3.19
491,3.52
492,3.78
493,4.00
494,3.99
495,3.23
496,2.61
497,2.10
498,1.69
499,1.34
500,1.08
501,0.87
502,0.69
503,1.33
504,1.97
505,2.51
506,2.96
507,3.32
508,3.62
509,3.86
510,4.06
511,3.68
512,2.98
513,2.40
514,1.94
515,1.55
516,1.24
517,1.00
518,0.80
519,0.87
520,1.57
521,2.17
522,2.68
523,3.09
524,3.43
525,3.72
526,3.94
527,4.13
528,3.42
529,2.77
530,2.23
531,1.79
532,1.43
533,1.14
534,0.92
535,0.73
536,1.14
537,1.81
538,2.37
539,2.83
540,3.23
541,3.54
542,3.80
543,4.01
544,3.91
545,3.17
546,2.56
547,2.06
548,1.66
549,1.33
550,1.07
551,0.86
552,0.68
553,1.40
554,2.02
555,2.55
556,2.99
557,3.34
558,3.63
559,3.89
560,4.08
561,3.62
562,2.94
563,2.37
564,1.90
565,1.53
566,1.22
567,0.97
568,0.78
569,0.93
570,1.63
571,2.22
572,2.71
573,3.13
574,3.46
575,3.73
576,3.95
577,4.14
578,3.36
579,2.71
580,2.19
581,1.76
582,1.42
583,1.13
584,0.90
585,0.72
586,1.20
587,1.86
588,2.41
589,2.88
590,3.25
591,3.56
592,3.82
593,4.03
594,3.85
595,3.11
596,2.51
597,2.03
598,1.62
599,1.30
600,1.04
601,0.83
602,0.65
603,1.45
604,2.07
605,2.59
606,3.02
607,3.37
608,3.66
609,3.90
610,4.09
611,3.57
612,2.89
613,2.33
614,1.86
615,1.50
616,1.20
617,0.96
618,0.77
619,1.00
620,1.68
621,2.27
622,2.75
