Time, Bits
0,250
1000,248
2000,248
3001,248
4001,248
5002,248
6002,248
7003,248
8003,248
9004,248
10004,248
11004,246
12005,246
13005,247
14006,245
15006,245
16007,245
17007,245
18008,244
19008,243
20008,241
21009,239
22009,239
23011,236
24011,236
25012,234
26012,232
27013,232
28013,232
29014,230
30014,230
31014,231
32015,233
33015,231
34016,232
35016,233
36017,234
37017,234
38018,236
39018,237
40019,236
41020,235
42020,235
43021,235
44021,236
45022,237
46022,238
47023,238
48023,238
49024,239
50024,241
51024,241
52025,241
53025,243
54026,243
55026,241
56028,239
57028,238
58029,236
59029,235
60029,235
61030,232
62030,231
63031,230
64031,228
65032,228
66032,228
67033,228
68033,226
69033,225
70034,225
71034,225
72036,223
73036,221
74037,217
75037,217
76038,216
77038,216
78039,216
79039,217
80039,216
81040,215
82040,215
83041,213
84041,214
85042,212
86042,210
87043,197
88044,189
89044,184
90045,183
91045,180
92046,178
93046,175
94047,175
95047,172
96048,171
97048,172
98049,172
99049,169
100049,173
101050,175
102051,176
103052,180
104052,183
105053,182
106053,184
107054,187
108054,190
109054,190
110055,194
111055,195
112057,197
113057,198
114058,202
115058,202
116059,202
117059,204
118060,206
119060,207
120060,207
121062,206
122062,208
123063,208
124063,208
125064,210
126064,211
127065,213
128065,213
129065,214
130066,214
131067,214
132068,215
133068,217
134069,219
135069,219
136070,219
137070,218
138071,220
139071,222
140072,222
141073,221
142073,220
143074,223
144074,223
145075,224
146075,225
147076,226
148076,226

